code,particulars,appropriation,obligation,balances
8000-03.1,Proads/Streets/Pathways/Multi-Purpose Pavements/Farm-to-Market Roads/Footbridges,21278928,-,21278928
8000-03.1.2,Government Buildings or Social Centers,6850000,-,6850000
8000-03.1.3,Health Centers,500000,-,500000
8000-03.1.3,Water Supply System,300000,-,300000
9000-01.1.1,PNB 25M,1770000,-,1770000
9000-01.1.2,LOGOFIND - (-4.00M = construction of seawalls),680000,-,680000
9000-01.1.2,LOGOFIND - (-3.50M = development of waterfalls),650000,-,650000
9000-01.1.3,PNB 94M,15653580,-,15653580
9000-01.1.4,KFW,2200000,-,2200000
9000-01.1.5,PROLEND,8500000,7585682.8,914317.2
9000-01.2,Interlocal Health Zone(ILHZ),652920,-,652920
9000-01.3,Responsible Youth and Family Program(RYFP),652920,-,652920
-,Total,59688348,7585682.8,52102665.2
