type_of_banking_system,Region,March_Total,March_Head Offices,March_Branches,June_Total,June_Head Offices,June_Branches,September_Total,September_Head Offices,September_Branches,December_Total,December_Head Offices,December_Branches,
BANKING SYSTEM,Overall Total,"      7,704",           861,"        6,843","        7,738",            858,"              6,880","         7,736",           852,"       6,884","       7,744",          847,"            6,897",
BANKING SYSTEM,NCR,"      2,657",           103,"        2,554","        2,676",            103,"              2,573","         2,666",           102,"       2,564","       2,659",          101,"            2,558",
BANKING SYSTEM,Region 12,         373,             64,           309,           376,              63,                 313,            374,             63,          311,          369,            62,               307,
BANKING SYSTEM,Region 2,         234,             37,           197,           236,              37,                 199,            236,             37,          199,          239,            37,               202,
BANKING SYSTEM,Region 3,         808,           114,           694,           810,            113,                 697,            810,           112,          698,          816,          110,               706,
BANKING SYSTEM,Region IV-A,"      1,164",           155,"        1,009","        1,159",            154,"              1,005","         1,161",           153,"       1,008","       1,164",          153,"            1,011",
BANKING SYSTEM,Region IV-B,           85,             22,             63,             86,              22,                   64,            117,             25,            92,          118,            26,                 92,
BANKING SYSTEM,Region 5,         216,             47,           169,           220,              47,                 173,            222,             47,          175,          222,            45,               177,
BANKING SYSTEM,Region 6,         436,             83,           353,           439,              83,                 356,            407,             78,          329,          413,            78,               335,
BANKING SYSTEM,Region 7,         508,             61,           447,           512,              61,                 451,            514,             61,          453,          515,            61,               454,
BANKING SYSTEM,Region 8 ,         134,             26,           108,           134,              26,                 108,            133,             26,          107,          133,            26,               107,
BANKING SYSTEM,Region 9,         121,             17,           104,           124,              17,                 107,            125,             17,          108,          128,            17,               111,
BANKING SYSTEM,Region 10,         252,             46,           206,           253,              47,                 206,            254,             47,          207,          254,            48,               206,
BANKING SYSTEM,Region 11,         256,             21,           235,           253,              21,                 232,            255,             21,          234,          252,            20,               232,
BANKING SYSTEM,Region 12,         167,             21,           146,           166,              21,                 145,            168,             21,          147,          169,            21,               148,
BANKING SYSTEM,CAR,         109,             21,             88,           110,              21,                   89,            112,             21,            91,          113,            21,                 92,
BANKING SYSTEM,ARMM,           26,               4,             22,             25,                3,                   22,              24,               2,            22,            24,              2,                 22,
BANKING SYSTEM, CARAGA,         114,             19,             95,           115,              19,                   96,            114,             19,            95,          115,            19,                 96,
BANKING SYSTEM,Nationwide,"      7,660",           861,"        6,799","        7,694",            858,"              6,836","         7,692",           852,"       6,840","       7,703",          847,"            6,856",
BANKING SYSTEM,     Asia-Pacific,           24,              -  ,             24,             24,               -  ,                   24,              24,             -  ,            24,            23,            -  ,                 23,
BANKING SYSTEM,     Europe ,           10,              -  ,             10,             10,               -  ,                   10,              10,             -  ,            10,              9,            -  ,                   9,
BANKING SYSTEM,     North America ,             7,              -  ,               7,               7,               -  ,                     7,                7,             -  ,              7,              6,            -  ,                   6,
BANKING SYSTEM,     Africa ,             3,              -  ,               3,               3,               -  ,                     3,                3,             -  ,              3,              3,            -  ,                   3,
BANKING SYSTEM,Overseas,           44,              -  ,             44,             44,               -  ,                   44,              44,             -  ,            44,            41,            -  ,                 41,
UNIVERSAL AND COMMERCIAL BANKS,Overall Total,"      4,278",             39,"        4,239","        4,297",              38,"              4,259","         4,284",             38,"       4,246","       4,275",            38,"            4,237",
UNIVERSAL AND COMMERCIAL BANKS,NCR,"      2,023",             38,"        1,985","        2,030",              37,"              1,993","         2,014",             37,"       1,977","       2,011",            37,"            1,974",
UNIVERSAL AND COMMERCIAL BANKS,Region 12,         143,              -  ,           143,           143,               -  ,                 143,            140,             -  ,          140,          138,            -  ,               138,
UNIVERSAL AND COMMERCIAL BANKS,Region 2,           74,              -  ,             74,             74,               -  ,                   74,              72,             -  ,            72,            73,            -  ,                 73,
UNIVERSAL AND COMMERCIAL BANKS,Region 3,         325,              -  ,           325,           328,               -  ,                 328,            332,             -  ,          332,          333,            -  ,               333,
UNIVERSAL AND COMMERCIAL BANKS,Region IV-A,         447,              -  ,           447,           450,               -  ,                 450,            450,             -  ,          450,          450,            -  ,               450,
UNIVERSAL AND COMMERCIAL BANKS,Region IV-B,           25,              -  ,             25,             25,               -  ,                   25,              39,             -  ,            39,            39,            -  ,                 39,
UNIVERSAL AND COMMERCIAL BANKS,Region 5,           95,              -  ,             95,             96,               -  ,                   96,              96,             -  ,            96,            96,            -  ,                 96,
UNIVERSAL AND COMMERCIAL BANKS,Region 6,         234,              -  ,           234,           235,               -  ,                 235,            223,             -  ,          223,          222,            -  ,               222,
UNIVERSAL AND COMMERCIAL BANKS,Region 7,         266,              -  ,           266,           269,               -  ,                 269,            270,             -  ,          270,          271,            -  ,               271,
UNIVERSAL AND COMMERCIAL BANKS,Region 8 ,           72,              -  ,             72,             72,               -  ,                   72,              70,             -  ,            70,            70,            -  ,                 70,
UNIVERSAL AND COMMERCIAL BANKS,Region 9,           74,               1,             73,             75,                1,                   74,              75,               1,            74,            75,              1,                 74,
UNIVERSAL AND COMMERCIAL BANKS,Region 10,         116,              -  ,           116,           116,               -  ,                 116,            115,             -  ,          115,          113,            -  ,               113,
UNIVERSAL AND COMMERCIAL BANKS,Region 11,         135,              -  ,           135,           135,               -  ,                 135,            137,             -  ,          137,          138,            -  ,               138,
UNIVERSAL AND COMMERCIAL BANKS,Region 12,           92,              -  ,             92,             91,               -  ,                   91,              92,             -  ,            92,            92,            -  ,                 92,
UNIVERSAL AND COMMERCIAL BANKS,CAR,           54,              -  ,             54,             55,               -  ,                   55,              56,             -  ,            56,            55,            -  ,                 55,
UNIVERSAL AND COMMERCIAL BANKS,ARMM,           21,              -  ,             21,             21,               -  ,                   21,              21,             -  ,            21,            21,            -  ,                 21,
UNIVERSAL AND COMMERCIAL BANKS, CARAGA,           38,              -  ,             38,             38,               -  ,                   38,              38,             -  ,            38,            37,            -  ,                 37,
UNIVERSAL AND COMMERCIAL BANKS,Nationwide,"      4,234",             39,"        4,195","        4,253",              38,"              4,215","         4,240",             38,"       4,202","       4,234",            38,"            4,196",
UNIVERSAL AND COMMERCIAL BANKS,     Asia-Pacific,           24,              -  ,             24,             24,               -  ,                   24,              24,,            24,            23,            -  ,                 23,
UNIVERSAL AND COMMERCIAL BANKS,     Europe ,           10,              -  ,             10,             10,               -  ,                   10,              10,             -  ,            10,              9,            -  ,                   9,
UNIVERSAL AND COMMERCIAL BANKS,     North America ,             7,              -  ,               7,               7,               -  ,                     7,                7,             -  ,              7,              6,            -  ,                   6,
UNIVERSAL AND COMMERCIAL BANKS,     Africa ,             3,              -  ,               3,               3,               -  ,                     3,                3,             -  ,              3,              3,            -  ,                   3,
UNIVERSAL AND COMMERCIAL BANKS,Overseas,           44,              -  ,             44,             44,               -  ,                   44,              44,             -  ,            44,            41,            -  ,                 41,
THRIFT BANKS,Overall Total,"      1,338",             84,"        1,254","        1,333",              83,"              1,250","         1,337",             82,"       1,255","       1,336",            82,"            1,254",
THRIFT BANKS,NCR,         564,             37,           527,           576,              38,                 538,            583,             38,          545,          580,            38,               542,
THRIFT BANKS,Region 12,           38,               1,             37,             38,                1,                   37,              39,               1,            38,            39,              1,                 38,
THRIFT BANKS,Region 2,             9,               2,               7,               9,                2,                     7,              11,               2,              9,            11,              2,                   9,
THRIFT BANKS,Region 3,         148,             13,           135,           143,              12,                 131,            138,             11,          127,          138,            11,               127,
