month,particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_Fund_70_percent,ndrrmf,from_other_lgu's,from_other_sources,total
January,Source of Funds,Current Appropriation,9119699.7,21279299.3,-,-,530000,30398999
January,Source of Funds,Continuing Appropriation,-,-,-,-,-,-
January,Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,16501234.79,38502881.17,-,-,-,55004115.96
January,Source of Funds,Transfer/Grants,-,-,-,-,-,-
January,Source of Funds,Total Fund Available ,25620934.49,59782180.47,-,-,530000,-
January,Utilization,Medicines,-,-,-,-,-,-
January,Utilization,Food Supplies,-,-,-,-,-,-
January,Utilization,Repair of Evaluation Center,-,-,-,-,-,-
January,Utilization,Trainings,-,-,-,-,-,-
January,Utilization,Construction of Evacuation Center,-,-,-,-,-,-
January,Utilization,Equipment,-,-,-,-,-,-
January,Utilization,Transfer to the LGU's,-,-,-,-,-,-
January,Utilization,Traveling Expenses,-,-,-,-,2580,-
January,Utilization,Water/Electric/Telephone Bill,-,-,-,-,-,-
January,Utilization,Salary of Opcen Staff,-,-,-,-,-,-
January,Utilization,Fuel and Oil,-,-,-,-,13500,-
January,Utilization,Repair and Maintenance of Service Vehicle,-,-,-,-,-,-
January,Utilization,Total Utilization,-,-,-,-,16080,-
January,Unutilized Balance,Unutilized Balance,-,59782180.47,-,-,513920,85383114.96
February,Source of Funds,Current Appropriation,9119699.7,21279299.3,-,-,530000,30398999
February,Source of Funds,Continuing Appropriation,-,-,-,-,-,-
February,Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,16501234.79,38502881.17,-,-,-,30398999
February,Source of Funds,Transfer/Grants,-,-,-,-,-,-
February,Source of Funds,Total Fund Available ,25620934.49,59782180.47,-,-,530000,-
February,Utilization,Medicines,-,-,-,-,-,-
February,Utilization,Food Supplies,-,-,-,-,-,-
February,Utilization,Repair of Evaluation Center,-,-,-,-,-,-
February,Utilization,Trainings,-,-,-,-,-,-
February,Utilization,Construction of Evacuation Center,-,-,-,-,4950,-
February,Utilization,Equipment,-,-,-,-,-,-
February,Utilization,Transfer to the LGU's,200000,-,-,-,-,-
February,Utilization,Traveling Expenses,-,-,-,-,2704.31,-
February,Utilization,Water/Electric/Telephone Bill,-,-,-,-,-,-
February,Utilization,Salary of Opcen Staff,-,-,-,-,-,-
February,Utilization,Fuel and Oil,-,-,-,-,-,-
February,Utilization,Repair and Maintenance of Service Vehicle,-,-,-,-,21400,-
February,Utilization,Total Utilization,200000,-,-,-,29054.31,-
February,Utilization,January 2013 Utilization,-,-,-,-,16080,-
February,Unutilized Balance,Unutilized Balance,25600934.49,59782180.47,-,-,484865.69,30398999
March,Source of Funds,Current Appropriation,9119699.7,21279299.3,-,-,-,30398999
March,Source of Funds,Continuing Appropriation,-,-,-,-,-,-
March,Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,16501234.79,38502881.17,-,-,-,55004115.96
March,Source of Funds,Transfer/Grants,-,-,-,-,-,-
March,Source of Funds,Total Fund Available ,25620934.49,59782180.47,-,-,-,-
March,Utilization,Medicines,-,-,-,-,-,-
March,Utilization,Food Supplies,-,-,-,-,-,-
March,Utilization,Repair of Evaluation Center,-,-,-,-,-,-
March,Utilization,Trainings,-,-,-,-,-,-
March,Utilization,Construction of Evacuation Center,-,-,-,-,-,-
March,Utilization,Equipment,-,-,-,-,-,-
March,Utilization,Transfer to the LGU's,-,-,-,-,-,-
March,Utilization,Traveling Expenses,-,-,-,-,-,-
March,Utilization,Water/Electric/Telephone Bill,-,-,-,-,-,-
March,Utilization,Salary of Opcen Staff,-,-,-,-,-,-
March,Utilization,Fuel and Oil,-,-,-,-,-,-
March,Utilization,Repair and Maintenance of Service Vehicle,-,-,-,-,-,-
March,Utilization,Total Utilization,-,-,-,-,-,-
March,Utilization,"January 15 - February 15, 2013 Utilization",20000,-,-,-,-,-
March,Unutilized Balance,Unutilized Balance,25600934.49,59782180.47,-,-,-,85383114.96
