particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ldrrmf_trust_funds,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Current Appropriations,9829762.2,22936111.8,-,-,-,-,32765874
Source of Funds,Continuing Appropriations,-,-,-,-,-,-,-
Source of Funds,Previous Year's Appropriations transferred,-,"(Beginning Balance as of December 31, 2013)",-,-,-,-,46638294.15
Source of Funds,Transfers/Grants,-,-,-,-,-,-,-
Source of Funds,Total Funds Available,-,-,-,-,-,-,79404168.15
Utilization,Travelling Expenses,-,8800,-,-,-,-,-
Utilization,Trainings,-,51815,-,-,-,-,-
Utilization,Office Suppplies,-,-,-,-,-,-,-
Utilization,Food Supplies/Dry Goods,-,2851583.38,-,-,-,-,-
Utilization,Medicines,-,12453.6,-,-,-,-,-
Utilization,"Gas, Oil, and Lubricants Expenses",-,66792,-,-,-,-,-
Utilization,Repair and Maintenance- Equipments,-,-,-,-,-,-,-
Utilization,Repair and Maintenance-Motor Vehicle,-,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-,-
Utilization,Establishments of Opcen,-,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-,-
Utilization,Transfers to other LGUs,-,-,-,-,-,-,-
Utilization,Total Utilization,-,2991443.98,14854202.35,-,-,-,17845646.33
Unutilized Balance,Unutilized Balance,-,-,-,-,-,-,61558521.82
