particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_Fund_70_percent,ndrrmf,from_other_lgu's,from_other_sources,total
Source of Funds,Current Appropriation,9119699.7,21279299.3,-,-,-,30398999
Source of Funds,Continuing Appropriation,-,-,-,-,-,-
Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,16501234.79,38502881.17,-,-,-,55004
Source of Funds,Transfer/Grants,-,-,-,-,-,-
Source of Funds,Total Fund Available ,25620934.49,59782180.47,-,-,-,-
Utilization,Medicines,-,-,-,-,-,85403114.96
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evaluation Center,-,-,-,-,-,-
Utilization,Trainings,-,27152,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfer to the LGU's,-,-,-,-,-,-
Utilization,Traveling Expenses,-,8160,-,-,-,-
Utilization,Water/Electric/Telephone Bill,-,-,-,-,-,-
Utilization,Salary of Opcen Staff,-,-,-,-,-,-
Utilization,Fuel and Oil,-,-,-,-,-,-
Utilization,Repair and Maintenance of Service Vehicle,-,-,-,-,-,-
Utilization,Total Utilization,-,35312,-,-,-,35312
Utilization,January 15 - June 2013 Utilization,20000,1939095,-,-,-,1959095
Unutilized Balance,Unutilized Balance,25600934.49,57807773.47,-,-,-,83408707.96
