month,particulars_1,particulars_2,ldrrmf_quick_response_fund_30%,ldrrmf_mitigation_Fund_70%,ndrrmf,from_other_lgu's,ldrrmf_trust_fund_(814+31),from_other_sources,total
October,Source of Funds,Current Appropriation,9119699.7,21279299.3,-,-,-,-,30398999
October,Source of Funds,Continuing Appropriation,-,-,-,-,-,-,-
October,Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,-,-,-,-,5504115.96,-,55004115.96
October,Source of Funds,Transfer/Grants,-,-,-,-,-,-,-
October,Source of Funds,Total Fund Available ,9119699.7,21279299.3,-,-,5504115.96,-,35903114.96
October,Utilization,Medicines,-,-,-,-,-,-,-
October,Utilization,Food Supplies,-,-,-,-,-,-,-
October,Utilization,Repair of Evaluation Center,-,-,-,-,-,-,-
October,Utilization,Trainings,-,-,-,-,-,-,-
October,Utilization,Construction of Evacuation Center,-,14375,-,-,-,-,-
October,Utilization,Equipment,-,185000,-,-,-,-,-
October,Utilization,Transfer to the LGU's,-,1000000,-,-,-,-,-
October,Utilization,Traveling Expenses,-,66651,-,-,-,-,-
October,Utilization,Water/Electric/Telephone Bill,-,-,-,-,-,-,-
October,Utilization,Salary of Opcen Staff,-,-,-,-,-,-,-
October,Utilization,Fuel and Oil,-,-,-,-,-,-,-
October,Utilization,Repair and Maintenance of Service Vehicle,-,-,-,-,-,-,-
October,Utilization,Total Utilization,-,1266026,-,-,1002636.84,-,2268662.84
October,Utilization,January - September 2013 Utilization,20000,2432524.52,-,-,-,-,2452524.52
October,Unutilized Balance,Unutilized Balance,9099699.7,17580748.78,-,-,54001479.12,-,80681927.6
November,Source of Funds,Current Appropriation,9119699.7,21279299.3,-,-,-,-,30398999
November,Source of Funds,Continuing Appropriation,-,-,-,-,-,-,-
November,Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,-,-,-,-,54001479.12,-,5504115.96
November,Source of Funds,Transfer/Grants,-,-,-,-,-,-,-
November,Source of Funds,Total Fund Available ,9119699.7,21279299.3,-,-,54001479.12,-,85403114.96
November,Utilization,Medicines,-,-,-,-,-,-,-
November,Utilization,Food Supplies,-,-,-,-,-,-,-
November,Utilization,Repair of Evaluation Center,-,316215.25,-,-,-,-,-
November,Utilization,Trainings,-,-,-,-,-,-,-
November,Utilization,Construction of Evacuation Center,-,16850,-,-,-,-,-
November,Utilization,Equipment,-,2995000,-,-,-,-,-
November,Utilization,Transfer to the LGU's,-,202565,-,-,-,-,-
November,Utilization,Traveling Expenses,-,-,-,-,-,-,-
November,Utilization,Water/Electric/Telephone Bill,-,-,-,-,-,-,-
November,Utilization,Salary of Opcen Staff,-,45000,-,-,-,-,-
November,Utilization,Fuel and Oil,-,-,-,-,-,-,-
November,Utilization,Repair and Maintenance of Service Vehicle,-,-,-,-,2280434.09,-,-
November,Utilization,Total Utilization,-,3575630.25,-,-,2280434.09,-,5856064.34
November,Utilization,January - October 2013 Utilization,20000,4721187.36,-,-,-,-,4741187.36
November,Unutilized Balance,Unutilized Balance,9099699.7,12982481.69,-,-,52723681.87,-,74805863
