month,particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_Fund_70_percent,ndrrmf,from_other_lgu's,from_other_sources,total
April,Source of Funds,Current Appropriation,9119699.7,21279299.3,-,-,-,30398999
April,Source of Funds,Continuing Appropriation,-,-,-,-,-,-
April,Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,16501234.79,38502881.17,-,-,-,55004115.96
April,Source of Funds,Transfer/Grants,-,-,-,-,-,-
April,Source of Funds,Total Fund Available ,25620934.49,59782180.47,-,-,-,85403114.96
April,Utilization,Medicines,-,-,-,-,-,-
April,Utilization,Food Supplies,-,-,-,-,-,-
April,Utilization,Repair of Evaluation Center,-,-,-,-,-,-
April,Utilization,Trainings,-,-,-,-,-,-
April,Utilization,Construction of Evacuation Center,-,-,-,-,-,-
April,Utilization,Equipment,-,-,-,-,-,-
April,Utilization,Transfer to the LGU's,-,-,-,-,-,-
April,Utilization,Traveling Expenses,-,-,-,-,-,-
April,Utilization,Water/Electric/Telephone Bill,-,-,-,-,-,-
April,Utilization,Salary of Opcen Staff,-,-,-,-,-,-
April,Utilization,Fuel and Oil,-,-,-,-,-,-
April,Utilization,Repair and Maintenance of Service Vehicle,-,-,-,-,-,-
April,Utilization,Total Utilization,-,-,-,-,-,-
April,Utilization,"January 15 - March 15, 2013 Utilization",20000,-,-,-,-,-
April,Unutilized Balance,Unutilized Balance,25600934.49,59782180.47,-,-,-,85383114.96
May,Source of Funds,Current Appropriation,9119699.7,21279299.3,-,-,-,30398999
May,Source of Funds,Continuing Appropriation,-,-,-,-,-,-
May,Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,16501234.79,38502881.17,-,-,-,55004115.96
May,Source of Funds,Transfer/Grants,-,-,-,-,-,-
May,Source of Funds,Total Fund Available ,25620934.49,59782180.47,-,-,-,85403114.96
May,Utilization,Medicines,-,-,-,-,-,-
May,Utilization,Food Supplies,-,-,-,-,-,-
May,Utilization,Repair of Evaluation Center,-,-,-,-,-,-
May,Utilization,Trainings,-,-,-,-,-,-
May,Utilization,Construction of Evacuation Center,-,-,-,-,-,-
May,Utilization,Equipment,-,-,-,-,-,-
May,Utilization,Transfer to the LGU's,-,-,-,-,-,-
May,Utilization,Traveling Expenses,-,-,-,-,-,-
May,Utilization,Water/Electric/Telephone Bill,-,-,-,-,-,-
May,Utilization,Salary of Opcen Staff,-,-,-,-,-,-
May,Utilization,Fuel and Oil,-,-,-,-,-,-
May,Utilization,Repair and Maintenance of Service Vehicle,-,-,-,-,-,-
May,Utilization,Total Utilization,-,1693345,-,-,-,169345
May,Utilization,January - April 2013 Utilization,20000,62428,-,-,-,82428
May,Unutilized Balance,Unutilized Balance,25600934.49,58026407.47,-,-,-,85383114.96
June,Source of Funds,Current Appropriation,9119699.7,21279299.3,-,-,-,30398999
June,Source of Funds,Continuing Appropriation,-,-,-,-,-,-
June,Source of Funds,Previous Year's Appropriation Transferred to the Special Trust Fund,16501234.79,38502881.17,-,-,-,55004115.96
June,Source of Funds,Transfer/Grants,-,-,-,-,-,-
June,Source of Funds,Total Fund Available ,25620934.49,59782180.47,-,-,-,85403144.96
June,Utilization,Medicines,-,-,-,-,-,-
June,Utilization,Food Supplies,-,-,-,-,-,-
June,Utilization,Repair of Evaluation Center,-,-,-,-,-,-
June,Utilization,Trainings,-,-,-,-,-,-
June,Utilization,Construction of Evacuation Center,-,139762.5,-,-,-,-
June,Utilization,Equipment,-,-,-,-,-,-
June,Utilization,Transfer to the LGU's,-,63900,-,-,-,-
June,Utilization,Traveling Expenses,-,30000,-,-,-,-
June,Utilization,Water/Electric/Telephone Bill,-,9060,-,-,-,-
June,Utilization,Salary of Opcen Staff,-,-,-,-,-,-
June,Utilization,Fuel and Oil,-,-,-,-,-,-
June,Utilization,Repair and Maintenance of Service Vehicle,-,-,-,-,-,-
June,Utilization,Total Utilization,-,242722.5,-,-,-,242722.5
June,Utilization,January - May 2013 Utilization,-,1755773,-,-,-,1775773
June,Unutilized Balance,Unutilized Balance,25600934.49,57783684.97,-,-,-,83384619.46
