objt,particular,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotment
9991-00,5% Calamity Fund,-,-,-,-,-
9991-01,Purchase of Assorted Medicines,11150529.49,11150529.49,10963742.1,-,186787.39
9991-02,Disaster Relief Operation/Assistance,6233379.19,6233379.19,6233379.19,-,-
9991-03,Vehicle Maintenance/Repair/Office Supplies/Traveling Expenses,6230522.19,6230522.19,6230522.19,-,-
9991-04,Contractual Wages,719985,719985,719985,-,-
9991-05,"Purchase of Diesel Fuel, Gasoline and Lubricants",957758,957758.31,957758.31,-,-
9991-06,Repair/Rehabilitation of Infrastructure Damage,2153888.42,2153888.42,2153888.42,-,-
9991-07,Quick Response Fund/Standby Fund,11564315.4,11464315.4,11564315.4,-,-
9991-08,Support/Labor for the Repair Siargao Timber Bridge,43200,43200,43200,-,-
9991-10,Support/Labor for the Repair Magsaysay Timber Bridge,43200,43200,43200,-,-
9991-11,Repair/Rehabilitation of Tigabong Timber Bridge,452940,452940,452940,-,-
9991-12,Support/Labor for the Repair of Tigabog Timber Bridge,48000,48000,48000,-,-
-,Total,39597717.69,39497718,39410930.61,-,186787.39
