objt,particular,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotment
9991-00,5% Calamity Fund,-,-,-,-,-
9991-01,Purchase of Assorted Medicines,6000000,6000000,5975843.4,-,24156.6
9991-02,Disaster Relief Operation/Assistance,5500000,4500000,4174712.6,1000000,325267.4
9991-03,Vehicle Maintenance/Repair/Office Supplies/Traveling Expenses,10500000,7715000,5519453.5,2785000,2195546.5
9991-04,Contractual Wages,600000,600000,437600,-,162400
9991-05,"Purchase of Diesel Fuel, Gasoline and Lubricants",1080000,810000,799912.24,270000,10087.76
9991-06,Repair/Rehabilitation of Infrastructure Damage,3455862.6,3153821.85,1230211.18,302040.75,1923610.67
9991-07,Quick Response Fund/Standby Fund,11879316.4,-,-,11879315.4,-
9991-08,Support/Labor for the Repair Siargao Timber Bridge,43200,43200,43200,-,-
9991-10,Support/Labor for the Repair Magsaysay Timber Bridge,43200,43200,43200,-,-
9991-11,Repair/Rehabilitation of Tigabong Timber Bridge,452940,452940,452940,-,-
9991-12,Support/Labor for the Repair of Tigabog Timber Bridge,43200,-,-,43200,-
-,Total,39597719,23318161.85,18677072.92,16279556.15,4641068.93
