objt,particular,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotment
9991-00,5% Calamity Fund,-,-,-,-,-
9991-01,Purchase of Assorted Medicines,6000000,6000000,5975843.4,-,24156.6
9991-02,Disaster Relief Operation/Assistance,3800000,500000,148000,3300000,352000
9991-03,Vehicle Maintenance/Repair/Office Supplies/Traveling Expenses,9700000,4300000,1408215.44,5400000,2891784.56
9991-04,Contractual Wages,600000,200000,102515,400000,97485
9991-05,"Purchase of Diesel Fuel, Gasoline and Lubricants",1080000,260000,255216.87,820000,4783.13
9991-06,Repair/Rehabilitation of Infrastructure Damage,6452002.6,769600.65,186725,5682401.95,582875.65
9991-07,Quick Response Fund/Standby Fund,11879315.4,-,-,11979315.4,-
9991-08,Support/Labor for the Repair Siargao Timber Bridge,43200,-,-,43200,-
9991-10,Support/Labor for the Repair Magsaysay Timber Bridge,43200,-,-,43200,-
-,Total,39697718,12029600.65,8076515.71,27568117.35,3953084.94
