quarter,objt_code,particular,appropriation,allotment,obliogation,balance_of_appropriation,-
Q1,9991-00,5% Calamity Fund,-,-,-,-,-
Q1,9991-01,Purchase of Assorted Medicines,6662237.25,6000000,4999993,662237.25,1000007
Q1,9991-02,Disaster Relief Operation or Assistance,3150000,710000,100000,2440000,610000
Q1,9991-03,Vehicle Maintenance/Repair/Office Supplies/Traveling Expenditure,7937762.75,1700000,671354.26,6237762.75,1028645.74
Q1,9991-04,Contractual Wages,1000000,200000,56734,800000,143266
Q1,9991-05,"Purchase of Diesel Fuel, Gasoline and Lubricants",1500000,400000,14469.61,1100000,385530.39
Q1,9991-06,Repair/Rehabilitation of Infrastructure Damage,4226576.5,612688,612688,3613888.5,-
Q1,9991-07,Support Labor of PGO,825525.5,71050.5,53750,754475,17300.5
Q1,9991-08,Quick Response Fund/Standby Fund,10843758,10843758,-,-,10843758
Q1,-,Total,36145860,20537496.5,6508988.87,15608363.5,14028507.63
Q2,9991-00,5% Calamity Fund,-,-,-,-,-
Q2,9991-01,Purchase of Assorted Medicines,6662237.25,6000000,5997488,662237.25,2512
Q2,9991-02,Disaster Relief Operation or Assistance,3150000,51,363975,1440000,1356025
Q2,9991-03,Vehicle Maintenance/Repair/Office Supplies/Traveling Expenditure,7937762.75,325525.5,1896388.75,4237762.75,1803611.25
Q2,9991-04,Contractual Wages,1000000,400000,237464.97,600000,162535.03
Q2,9991-05,"Purchase of Diesel Fuel, Gasoline and Lubricants",1500000,900000,832749.7,600000,67250.3
Q2,9991-06,Repair/Rehabilitation of Infrastructure Damage,4226576.5,2351051,1518188,1875525.5,832863
Q2,9991-07,Support Labor of PGO,825525.5,325525.5,324592.3,500000,933.2
Q2,9991-08,Quick Response Fund/Standby Fund,10843758,10843758,-,-,10843758
Q2,-,Total,36145860,26230334.5,11160846.72,9915525.5,15069487.78
Q3,9991-00,5% Calamity Fund,-,-,-,-,-
Q3,9991-01,Purchase of Assorted Medicines,6662237.25,6100000,5997488,562237.25,102512
Q3,9991-02,Disaster Relief Operation or Assistance,3150000,2650000,477261.2,500000,2172738.8
Q3,9991-03,Vehicle Maintenance/Repair/Office Supplies/Traveling Expenditure,7937762.75,7037762.75,3322297.92,900000,3715464.83
Q3,9991-04,Contractual Wages,1000000,700000,334174.97,300000,365825.03
Q3,9991-05,"Purchase of Diesel Fuel, Gasoline and Lubricants",1500000,1500000,1101269.11,-,398730.89
Q3,9991-06,Repair/Rehabilitation of Infrastructure Damage,4226576.5,3288813.75,2618188,937762.75,670625.75
Q3,9991-07,Support Labor of PGO,825525.5,375525.5,324592.3,450000,50933.2
Q3,9991-08,Quick Response Fund/Standby Fund,10843758,10843758,-,-,10843758
Q3,-,Total,36145860,32495860,14175271.5,3650000,18320588.5
Q4,9991-00,5% Calamity Fund,-,-,-,-,-
Q4,9991-01,Purchase of Assorted Medicines,10982374,10982374,10982374,-,-
Q4,9991-02,Disaster Relief Operation or Assistance,2723761.2,2723761.2,2723761.2,-,-
Q4,9991-03,Vehicle Maintenance/Repair/Office Supplies/Traveling Expenditure,4435202.92,4435202.92,4435202.92,-,-
Q4,9991-04,Contractual Wages,784602.88,784602.88,784602.88,-,-
Q4,9991-05,"Purchase of Diesel Fuel, Gasoline and Lubricants",1354998.66,1354998.66,1354998.66,-,-
Q4,9991-06,Repair/Rehabilitation of Infrastructure Damage,3471233.33,3471233.33,3471233.33,-,-
Q4,9991-07,Support Labor of PGO,1549929.01,1549929.01,1301560.83,-,248368.18
Q4,9991-08,Quick Response Fund/Standby Fund,10843758,10843758,10843758,-,-
Q4,-,Total,36145860,36145860,35897491.82,-,248368.18
