year,existing_cbas_as_of_number,existing_cbas_as_of_workers_covered,new_cbas_filed_number,new_cbas_filed_workers_covered
1963,544,152864,NA,NA
1964,607,149322,NA,NA
1965,488,116652,NA,NA
1966,574,113652,NA,NA
1967,624,124800,NA,NA
1968,520,97760,NA,NA
1969,584,131400,NA,NA
1970,598,157274,NA,NA
1971,738,154242,NA,NA
1972,852,165288,777,NA
1973,787,153465,740,NA
1974,1784,337354,1038,159962
1975,1763,273355,817,129235
1976,2016,261501,878,132266
1977,2033,216066,696,109769
1978,1961,286873,692,178646
1979,1715,287450,779,128217
1980,1720,321661,773,139158
1981,1852,332511,920,141883
1982,1729,285394,809,105483
1983,1779,271015,931,108637
1984,1785,242342,818,94856
1985,2029,262090,1086,110897
1986,2347,313244,1128,144002
1987,3112,354658,1459,146165
1988,3644,377430,1434,115857
1989,4098,374631,1874,146807
1990,4982,497317,2481,230025
1991,4409,537747,1457,155995
1992,4537,571056,950,91395
1993,4983,608876,1084,83885
1994,4497,532185,762,56942
1995,3264,363514,990,109380
1996,3398,410777,818,131446
1997,2987,525007,532,92149
1998,3106,551021,432,68616
1999,2956,529078,413,64703
2000,2687,484278,419,73109
2001,2518,461559,386,70752
2002,2700,528029,588,114412
2003,2842,556374,415,66824
2004,2798,555000,399,63529
2005,2793,556000,459,82925
2006,1670,235887,536,60790
2007,1542,218128,318,44375
2008,1456,227403,307,55290
2009,1394,225167,453,74924
2010,1413,212054,540,87445
2011,1389,227620,475,77944
2012,1327,219899,365,58138
