NEDA UPDATES ON THE ECONOMY,,,,,,,,,,,,,,,,,,,,,,
As of 28 November 2012,,,,,,,,,,,,,,,,,,,,,,
I.   REAL SECTOR,,,,,Latest ,,Preceding,,Year to,,Same Quarter,,III.  MONETARY AND,,Latest ,,Preceding,,Year to,,Same Month,
,,,,,Quarter,,Quarter,,Date,,Year Ago ,,     BANKING SECTOR (%),,Month,,Month,,     Date,,Year Ago,
,A.,National Income (% g.r.) (NSCB),,,,,,,,,,,A.,Growth of U/KBs Outstanding Loans/a,14.2,(Sept '12),12.4,(Aug '12),14.2,(Sept '12),18.9,(Sept '11)
,,GNI,,,6.6,(Q3'12),5.7,(Q2 '12),5.8,(Q1-Q3'12),2.2,(Q3 '11),B.,NPL to total loans ratio,2.1,(Aug '12),2.1,(Jul '12),2.1,(Aug '12),2.5,(Aug '11)
,,GDP,,,7.1,,6,,6.5,,3.2,,C.,M3 Growth /b,7.5,(Sept '12),6.2,(Aug '12),7.5,(Sept '12),7.4,(Aug '11)
,,,Agriculture,,4.1,,0.6,,1.8,,2.2,,IV. PRICES,,Latest ,,Preceding,,Year to,,Same Month,
,,,Industry,,8.1,,5.5,,6.3,,0.1,,,,Month,,Month,,      Date,,Year Ago,
,,,Services,,7,,7.4,,7.5,,5.2,,A.,Headline Inflation Rate (%) (NSO)/c,3.1,(Oct '12),3.6,(Sep '12),3.2,Jan - Oct '12,5.2,(Oct '11)
,B.,Manufacturing (MISSI-NSO),,,Latest ,,Preceding,,Year to,,Same Month,,,  Food and Non-Alcoholic Beverages,2.5,,3.7,,2.4,,4.7,
,,(2000 - based),,,Month,,Month,,Date,,Year Ago ,,,  Non-Food,3.7,,3.7,,3.8,,4.9,
,,Value of Production(% g.r.),,,3,(Aug '12),2.5,(Jul '12),5.7,(Jan-Aug '12),1.6,(Aug '11),,NCR,2.9,,3.5,,2.9,,4.9,
,,Volume of Production(% g.r.),,,3.5,,3.7,,5.1,,1.2,,,AONCR,3.3,,3.7,,3.2,,5.3,
,,Value of Sales(% g.r.),,,-5.5,,-1.7,,2.7,,16.2,,B.,Core Inflation Rate (%) (NSO)/c,3.6,(Oct '12),3.8,(Sep '12),3.8,Jan - Oct '12,4.7,(Oct '11)
,,Volume of Sales(% g.r.),,,-5,,-0.5,,2.1,,15.8,,C.,"Lending Rate (Low, %)",5.3,(Oct '12),5.4,(Sept '12),5.6,Jan - Oct '12,5.7,(Oct '11)
,,Weighted Ave. Capacity Utilization (%),,,0.1,,0.1,,0.4,,-0.1,,,,Latest ,,                Preceding,,Year to,,                      Same Week,
,C.,Electrical Consumption (% g.r.),,,Latest ,,Preceding,,Year to,,Same Month,,,,Week,,               Week,,   Date,,                      Year Ago,
,,(Meralco kWh Sales),,,Month,,Month,,Date,,Year Ago ,,D.,BSP Overnight Borrowing Policy Rates(RP),5.5,(26 Nov '12),5.5,(19 Nov '12),5.5,,6.5,(25 Nov '11)
,,Residential,,,-3.3,(Aug '12),4.3,(Jul '12),5.9,(Jan-Aug '12),-0.1,(Aug '11),E.,BSP Overnight Lending Policy Rates(RRP),3.5,(26 Nov '12),3.5,(19 Nov '12),3.5,,4.5,(25 Nov '11)
,,Commercial,,,-1,,5.5,,6.3,,2.8,,F.,91-Day T-Bill Rate (%),0.2,(26 Nov '12),0.2,(12 Nov '12),1.5,,1.5,(17 Nov  '11)
,,Industrial,,,4.4,,18.7,,13.7,,11.5,,G.,"Forex (Average, P:$1)",40.9,(28 Nov '12),41.1,(21 Nov '12),42.3,,43.8,(28 Nov '11)
,,Others,,,-14.2,,-9.9,,-10.3,,8.5,,H. ,PSEi,"5,586.50",(27 Nov '12),"5,500.60",(20 Nov '12),"5,123.50",,"4,227.90",(28 Nov '11)
,,Total,,,-0.1,,8.9,,8.3,,4.4,,V. EXTERNAL ACCOUNTS (BSP/NSO),,                  Latest ,,                Preceding,,Year to,,                     Same Month/Quarter,
,D.,Building Permits ( % g.r.) (NSO),,,Latest ,,Preceding,,Year to,,Same Quarter,,,,               Month/Quarter,,                 Month/Quarter,,   Date,,                     Year Ago,
,,,,,Quarter ,,Quarter,,Date,,Year Ago ,,A.,Merchandise Exports (% g.r.),22.8, (Sept '12) ,-9, (Aug '12) ,7.2,Jan- Sept '12,-27,(Sept '11)
,,Number of Permits,,,4.4,(Q2 '12),4.4,(Q1 '12),7.7,(Q2 '12),-3,(Q2 '11),, - Electronic Products/d (% g.r.),1,,-14.9,,-7.2,,-47.9,
,,Value of Construction,,,15.5,,-6.8,,6.1,,-4.9,,B.,Merchandise Imports (% g.r.),3.6, (Sep '12) ,-0.4, (Aug '12) ,0.5,Jan-Sep '12,10.6,(Sep '11)
,E.,Investment Indicators (% g.r.),,,Latest ,,Preceding,,Year to,,Same Period,,,- Raw mat. & intermediate goods (% g. r.),-5.3,,-0.2,,-14.2,,11.6,
,,,,,Period,,Period,,Date,,Year Ago ,,,- Capital goods (% g. r.),-9.3,,-3.9,,13.7,,5.1,
,,Total Approved Foreign Direct Investment,,,9.4,(Q2'12),-16.3,(Q1'12),0.4,(Jan-Jun '12),192.5,(Q2'11),C.,Current Account ($ M),"2,831",(Q2 '12),844,(Q1 '12),"3,675",Jan-Jun '12,"1,906",(Q2 '11)
,,,BOI Investment,,-24,,53.3,,-7.3,,333.6,,D.,Capital & Financial Accounts ($ M),"-1,541",(Q2 '12),335,(Q1 '12),"-1,206",Jan-Jun '12,70,(Q2 '11)
,,,PEZA Investment,,118.8,,-27.7,,43.6,,152.4,,,"- Direct Investments, net'",-361,,694,,333,,464,
,,,SBMA Investment,,27.6,,139.4,,69.4,,-97.6,,E.,Balance of Payments ($ M),604,(Oct '12),751,(Sep '12),"6,435",Jan- Oct '12,208,(Oct '11)
,,,CDC Investment,,-96.4,,-13.4,,-87,,1524.8,,F.,Gross International Reserves ($ M),"81,747",(end Oct '12)/r,"82,029",(end Sep '12),"81,747",(end Oct '12),"75,832",(Oct '11)
II.  EMPLOYMENT (NSO-LFS),,,,,Latest ,,Preceding,,Year to,,Same Period,,,- Months' worth of imports,11.8,,11.9,,11.8,,11.2,
