particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriation,5720133,13346977,-,-,-,19067110
Sources of Funds,Continuing Appropriation 2013,-,1719599.86,-,-,-,1719599.86
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund 2012,-,330510.58,-,-,-,330510.58
Sources of Funds,Trust Fund 2013,0,5481893.43,-,-,-,5481893.43
Sources of Funds,STF-Interest Income/Adjustment,0,-,-,-,143053.05,143053.05
Sources of Funds,Total Funds Available,5720133,20878980.87,0,0,143053.05,26742166.92
Utilization,Cash Advance,-,-,-,-,-,-
Utilization,Training Expenses,-,229528,-,-,-,229528
Utilization,Travelling Expenses,-,1201393,-,-,-,1201393
Utilization,Office Supplies Expense,-,37376,-,-,-,37376
Utilization,"Fuel, Oil and Lubricants",-,75556.5,-,-,-,75556.5
Utilization,Communication Expense,-,13058.53,-,-,-,13058.53
Utilization,Repair and Maintenance -IT Equipment,-,-,-,-,-,0
Utilization,Repair and Maintenance - Motor Vehicle,-,-,-,-,-,0
Utilization,Subsidy Financial Assistance,-,80000,-,-,-,80000
Utilization,Other Maintenance and Operating Expenses,-,15473,-,-,-,15473
Utilization,Construction Materials,-,226221.45,-,-,-,226221.45
Utilization,Land,-,49500,-,-,-,49500
Utilization,Office Equipment,-,-,-,-,-,0
Utilization,IT Equipment,-,23520,-,-,-,23520
Utilization,Communication Equipment,-,121450,-,-,-,121450
Utilization,Disaster Response and Rescue Equipt,-,-,-,-,-,0
Utilization,Motor Vehicle,-,-,-,-,-,0
Utilization,Other Equipment,-,-,-,-,-,0
Utilization,BIR,-,1851.92,-,-,-,1851.92
Utilization,Total Utilization,-,2074928.4,0,0,0,2074928.4
Unutilized Balance,Unutilized Balance,5720133,18804052.47,0,0,143053.05,24667238.52
