political_party_coalitions_or_sectoral_organizations,acronym,grand_total,percentage_of_total_votes_garnered
Buhay Hayaan Yumabong,BUHAY,1169338,7.3
Bayan Muna,Bayan Muna,979189,6.11
Citizens Battle Against Corruption,CIBAC,755735,4.72
Gabriela Women's Party***,GABRIELA,621266,3.88
Association of Philippine Electric Cooperatives,APEC,619733,3.87
"Advocacy for Teacher Empowerment Through Action, Cooperation and Harmony Towards Educational Reforms, Inc.",A TEACHER,490853,3.06
Akbayan! Citizen'z Action Party,AKBAYAN,466448,2.91
Alagad,ALAGAD,423165,2.64
Cooperative-Natco Network Party,COOP-NATCCO,409987,2.56
Luzon Farmers Party,BUTIL,409168,2.55
Bagong Alyansang Tagapagtaguyod ng Adhikaing Sambayanan,BATAS,385956,2.41
Alliance of Rural Concerns,ARC,374349,2.34
Anak Pawis**,ANAKPAWIS,370323,2.31
Anak Mindanao,AMIN,347527,2.17
Abono,ABONO,340002,2.12
You against Corruption and Poverty,YACAP,331623,2.07
"Agricultural Sector Alliance of the Philippines, Inc.",AGAP,328814,2.05
An Waray,AN WARAY,321516,2.01
"Filipinos for Peace,Justice and Progress Movement ****",FPJPM,301031,1.88
United Movement Against Drug,UNI-MAD,251804,1.57
Arts Business and Science Professional,ABS,235152,1.47
Ang Laban ng Indiginong Filipino,ALIF,229267,1.43
Kapatiran ng mga Na Kulong na Walang Sala,KAKUSA,229036,1.43
Kabataan,KABATAAN,228700,1.43
"Alyansang Bayanihan Ng Magsasaka, Manggagawang Bukid at Mangingisda-Adhikain at Kilusan ng Ordinarying Tao",ABA-AKO,219363,1.37
"Coalition of Associations of Senior Citizens in the Philippines,Inc.",SENIOR CITIZENS,213095,1.33
Aangat Tayo,AT,200030,1.25
Veterans Freedom Party,VFP,196358,1.23
Alliance for Nationalism and Democracy,ANAD,188573,1.18
Barangay Association for Nationmal Advancement of Transparency,BANAT,177068,1.1
"Kasangga sa Kaunlaran,Inc.",ANG KASANGGA,170594,1.06
"The True Marcos Loyalist (for God,Country and People) Association of the Philippines, Inc.",BANTAY,169869,1.06
ABAKADA GURO formerly Advocates and Adherents of Social Justice for School Teachers and Allied Workers,ABAKADA,166897,1.04
1-United Transport Coalition,1-UTAK,165012,1.03
Trade Union Congress Party,TUCP,162678,1.02
"COCOFED-Philippine Coconut Producers Federation,Inc.",COCOFED,156007,0.97
