Alert Status of Active ODA Loan-Assisted Projects as of June 2014,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
loan_ID,project_title,IA,FI,loan_effectivity,loan_closing_date,"max
closing_date",financial_indicator_1a_breached?,financial_indicator_1b_breached?,physical_indicator_2a_breached?,physical_indicator_2b_breached?,cost_overrun_indicator_3a_breached?,cost_overrun_indicator_3b_breached?,project_stage__indicator_4a_breached?,project_stage__indicator_4b_breached?,implementation_status,issue(s),remarks,actions_taken,alert_status,as_of_date
1225P,Agrarian Reform Communities Project II,DAR,OFID,3/4/2009,12/31/2014,12/31/2014,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Behind Schedule,(i)Delays in completion of document requirements for Approved Subprojects with Contract Rewards; (ii) Increasing Financial Disbursement Targets; (iii) Delays in submission and approval of withdrawal application; (iv) Closer collaboration between ARCP II;  and (v) LGUs and Physical accomplishments versus financial progress of approved RI sub projects.,With request for one-year loan validity extension.,ICC Secretariat endorses to DOF the request for one-year loan validity extension for both the ADB and OFID loans.,Level II,6/30/2014
2465-PHI,Agrarian Reform Communities Project II,DAR,ADB,3/4/2009,6/30/2015,6/30/2015,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Behind Schedule,(i)Delays in completion of document requirements for Approved Subprojects with Contract Rewards; (ii) Increasing Financial Disbursement Targets; (iii) Delays in submission and approval of withdrawal application; (iv) Closer collaboration between ARCP II;  and (v) LGUs and Physical accomplishments versus financial progress of approved RI sub projects.,With request for one-year loan validity extension.,ICC Secretariat endorses to DOF the request for one-year loan validity extension for both the ADB and OFID loans.,Level II,6/30/2014
PH-P242,Agrarian Reform Infrastructure Support Project III,DAR,JICA,4/15/2008,4/15/2017,4/15/2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-,-,-,-,No Major Problem,6/30/2014
PH-P244,Agriculture Credit Support Project,LBP,JICA,3/23/2010,3/23/2017,3/23/2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-,-,-,-,No Major Problem,6/30/2014
CHI-7,Angat Water Utilization and Aqueduct Improvement Project (AWUAIP)-Phase II,MWSS,CHINA,5/7/2010,5/7/2014,5/7/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,Closed,6/30/2014
PH-79120,ARMM Social Fund (Additional Financing),ARMM,WB-AF,11/5/2010,5/31/2013,5/31/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,Closed,6/30/2014
PH-P250,"Arterial Road Bypass Project, Phase II  (ARBP II)",DPWH,JICA,7/3/2012,7/30/2019,7/30/2019,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,-,Procurement of civil works contracts is significantly delayed due to failure of bidding as a result of excessively high bids compared to estimates.,-,Potential Problem Project,6/30/2014
PHL-9,Bacolod-Silay Airport Access Road Project,DPWH,KOREA,10/20/2009,6/20/2013,3/30/2015,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,On Schedule,-,Project is already completed. Documentations for the preparation of Final Change Order is on-going.,-,Potential Problem Project,6/30/2014
Austria-7,Bureau of Fire Protection Capability Building Program for Selected Priority Cities Project,DILG,Austria,4/5/2012,4/5/2014,4/5/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,Closed,6/30/2014
PH-P255,Capacity Enhancement of Mass Transit Systems in Metro Manila,DOTC,JICA,11/22/2013,11/22/2020,11/22/2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,On Schedule,-,-,-,No Major Problem,6/30/2014
PH-P249,Central Luzon Link Expressway Project,DPWH,JICA,7/3/2012,7/3/2019,7/3/2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,On Schedule,-,"As of July 2014, consulting services for DED is at 85% against the 90% scheduled progress.",-,No Major Problem,6/30/2014
KfW-02,Community Based Forest and Mangrove Management Project,DENR,GERMANY,1/12/2010,1/13/2016,1/13/2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-,-,-,-,No Major Problem,6/30/2014
2515-PHI,Credit for Better Health Care Project,DBP,ADB,8/19/2009,8/19/2015,8/19/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,On Schedule,-,"As of June 2014, ten (10) subprojects were approved amounting to PhP1,056.72 million, PhP710.35 million of which has been released to  nine (9) hospitals.",-,No Major Problem,6/30/2014
AI-2001 65 951,Credit Line for Energy Efficiency and Climate Protection in the Philippines (CLEECP),LBP,GERMANY,11/17/2009,12/30/2012,1/15/2015,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Behind Schedule,Project design; Uncompetitive lending facility,"For loan restructurinng,  still awaiting LBPs request/proposal for project restructuring.

LBP's request for one-year and 15 days extension was reported to the ICC-TB on 15 July 2014.  ",A follow-up letter on the proposal  was sent to LBP on 19 August 2014.,Level II,6/30/2014
PH-C24,Development Policy Support Program-Investment Climate,DOF,JICA,12/17/2012,12/17/2015,12/17/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-,-,-,-,No Major Problem,6/30/2014
3080-PHI,Emergency Assistance for Relief and Recovery from Typhoon Yolanda,DOF,ADB,2/28/2014,12/31/2014,12/31/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-,-,-,-,No Major Problem,6/30/2014
PH-P243,Environmental Development Project,DBP,JICA,1/7/2009,1/7/2016,1/7/2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-,-,-,-,No Major Problem,6/30/2014
PH-P253,"Flood Risk Management Project in Cagayan River, Tagoloan River, and Imus River",DPWH,JICA,7/3/2012,7/3/2020,7/3/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,On Schedule,-,Consultants working on the detailed design of the project.  Project PMO conducting ROW acquisition and RAP preparation.,-,Potential Problem Project,6/30/2014
PH-P248,Forestland Management Project,DENR,JICA,7/3/2012,7/3/2022,7/3/2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,Potential Problem Project,6/30/2014
PHL-10,"Gapan-San Fernando-Olongapo Road Project, Phase II",DPWH,KOREA,10/20/2009,6/20/2014,4/19/2015,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Behind Schedule,Issue on Right-of-Way and Land Acquisition,"Actual accomplishment as of June 2014 is at 88.78% against the 57.85% target or a negative slippage of 30.93%. 

The project continued to experience delays due to ROW problems and complaint of affected lot owner.","NEDA-MES informed NRO III on the inclusion of GSO II in the Alert Mechanism. As a result, a problem solving session (PSS) and an ocular inspection was conducted on 3 September 2014. The agreements during the PSS and ocular inspection include the creation of a Technical Working Group (TWG) to address implementation issues and to establish ""Task Force Lipat Poste"" for ROW concerns. NEDA-MES is coordinating closely with NRO III on updates on the activities of the TWG.",Level I,6/30/2014
FRANCE-3,Greater Modular Access (GMA) RoRo Ports,DOTC,France,11/1/2009,11/23/2012,11/23/2012,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,Suspension of implementation.,Incomplete outputs. The project is to be replaced by the  proposed Philippine Port and Coast Guard Capacity Development Project using the remaining balance . The proposed project was aprpoved by ICC in 2013 but approval from the Govt. of France is awaited.,"During the ODA Portfolio Review, MES recommended DOTC/PCG to fast-track finalization and implementation of the amended contract for the proposed project once BNP Paribas approval is secured.",Level I,6/30/2014
A-200665109,Health Sector Reform Project,DOH,Germany,6/27/2008,12/31/2013,12/31/2014,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-,-,-,-,Potential Problem Project,6/30/2014
2311-PHI,Integrated Coastal Resources Management Project,DENR,ADB,6/29/2007,6/30/2013,6/30/2014,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Behind Schedule,Budget and funds flow bottleneck,Delay in the implementation of LGU subprojects which was brought about by the depletion of the MDFO Imprest Account which was  only able to fund 5 out of 11 subprojects. Other LGUs were forced to issue Notice of Work Suspension due to non-downloading of funds to finance the subprojects.,N/A. Loan closed on 30 June 2014,Level II,6/30/2014
