particulars_1,particulars_2,available,utilized_or_obliged,balance
Current year appropriation,Quick Response Fund (QRF),8046207.5,-,-
Current year appropriation,Quick Response Fund (QRF)- MOOE,7846207.5,1302586,6543621.5
Current year appropriation,Quick Response Fund (QRF)- Capital Outlay,200000,-,200000
Current year appropriation,Mitigation Fund (MF),17607817.5,-,-
Current year appropriation,Mitigation Fund (MF)- MOOE,2325000,1062562,1262438
Current year appropriation,Mitigation Fund (MF)- Capital Outlay,15432817.5,13636016.04,1796801.46
Total,Total,25154025,16001164.04,9802860.96
Continuing Appropriation,Special Trust Fund- CY 2010,22796362.5,9742824.8,13053537.7
Continuing Appropriation,Special Trust Fund- CY 2011,51059117.13,16935024.04,34124093.09
Total,Total,76213142.13,32936188.08,43926954.05
