particulars_1,particulars_2,lrrmf_quick_response_fund,lrrmf_mitigation_fund,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,29055390,67795910,-,-,-,96851300
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Previous Year's  Appropriations transferred to the Special Trust Fund,13619206.7,25753321.3,-,-,-,39372528
Sources of Funds, Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,42674596.7,93549231.3,-,-,-,136223828
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,6371475.96,-,-,-,-,6371475.96
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,2826157.87,-,-,-,-,2826157.87
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,3539094,-,-,-,-
Utilization,Financial Assistance,10309050,-,-,-,-,-
Utilization,Disaster Rehabilitaion,-,13752997.86,-,-,-,-
Utilization,Disaster Prevention,-,7828507.01,-,-,-,-
Utilization,Disaster Preparedness,-,2820489.68,-,-,-,-
Utilization,Transfers to other LGUs,-,-,-,-,-,-
Total Utilization,Total Utilization,19506683.83,27941088.55,-,-,-,47447772.38
Unutilized Balance,Unutilized Balance,23167912.87,65608142.75,-,-,-,88776055.62
