particulars_1,particulars_2,lrrrmf_quick_response_fund_30_percent,lrrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,30871372.5,72033202.5,-,-,-,102904575
Sources of Funds,Continuing Appropriations,1859.22,14239057.62,-,-,-,14240916.84
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,22067549.16,51490948.01,-,-,-,73558497.17
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,52940780.88,137763208.1,-,-,-,190703989
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,937500,-,-,-,-,937500
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,5989968.49,-,-,-,5989968.49
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,1904558,122940,-,-,-,2027498
Utilization,Financial Assistance,-,-,-,-,-,-
Utilization,Disaster Rehabilitation,-,32467839.23,-,-,-,32467839.23
Utilization,Transfers to Other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,2842058,38580747.72,-,-,-,41422805.72
Utilization,Unutilized Balance,50098722.88,99182460.41,-,-,-,149281183.3
