particulars_1,particulars_2,lrrrmf_quick_response_fund_30_percent,lrrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,30871372.5,72033202.5,-,-,-,102904575
Sources of Funds,Continuing Appropriations,1859.22,14239057.62,-,-,-,14240916.84
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,22067549.16,51490948.01,-,-,-,73558497.17
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,52940780.88,137763208.1,-,-,-,190703989
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,937500,-,-,-,-,937500
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,2050737.81,-,-,-,2050737.81
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,479808,106020,-,-,-,585828
Utilization,Financial Assistance,-,-,-,-,-,-
Utilization,Disaster Rehabilitation,-,27693882.99,-,-,-,27693882.99
Utilization,Transfers to Other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,1417308,29850640.8,-,-,-,31267948.8
Utilization,Unutilized Balance,51523472.88,107912567.3,-,-,-,159436040.2
