particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriations,5756261.43,13431276.67,-,-,-,19187538.1
Sources of Funds,Continuing Appropriations,-,-,-,-,-,0
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,30790743.9,-,-,-,30790743.9
Sources of Funds,Transfers/Grants,-,-,-,-,-,0
Utilization,Total Funds Available,5756261.43,44222020.57,0,0,0,49978282
Utilization,Medicines,-,219206,-,-,-,219206
Utilization,Food Supplies,-,776438,-,-,-,776438
Utilization,Repair of Evacuation Center,-,-,-,-,-,0
Utilization,Trainings/Institutional and Capacity Development/Meetings,-,346063,-,-,-,346063
Utilization,"Construction of Evacuation
 Center",-,-,-,-,-,0
Utilization,Equipment,-,-,-,-,-,0
Utilization,Transfers to other LGUs,-,-,-,-,-,0
Utilization,Others - Fuel,-,42508.15,-,-,-,42508.15
Utilization,Others- Supplies,-,37574,-,-,-,37574
Utilization,Others - Communication,-,24750,-,-,-,24750
Utilization,Total Utilization,0,1446539.15,0,0,0,1446539.15
Unutilized Balance,Unutilized Balance,5756261.43,42775481.42,0,0,0,48531742.85
