classification,subclassification,region,project,2010,2011,2012,2013,2014
Aviation,Aviation,I (Ilocos Region),"Alaminos Airport, Pangasinan",0,0,75000,0,0
Aviation,Aviation,I (Ilocos Region),Laoag International Airport,0,0,0,0,16500
Aviation,Aviation,I (Ilocos Region),Vigan Airport,0,0,0,0,14750
Aviation,Aviation,II (Cagayn Valley),Bagabag Airport,0,0,0,0,5000
Aviation,Aviation,II (Cagayn Valley),Cauayan Airport,9500,0,0,0,0
Aviation,Aviation,II (Cagayn Valley),Completion of Basco Terminal/Improvement of Basco Airport,0,0,45000,0,0
Aviation,Aviation,II (Cagayn Valley),Development of Itbayat Terminal/Airport,0,0,25000,0,0
Aviation,Aviation,II (Cagayn Valley),Extension of the Itbayat Airport,0,0,0,0,90000
Aviation,Aviation,II (Cagayn Valley),"Lallo Airport, Cagayan Valley",0,0,75000,0,0
Aviation,Aviation,II (Cagayn Valley),Tuguegarao Airport,0,0,0,0,34625
Aviation,Aviation,III (Central Luzon),Baler Airport Extension,100000,0,0,0,0
Aviation,Aviation,III (Central Luzon),Casiguran Airport Extension,200000,0,0,0,0
Aviation,Aviation,III (Central Luzon),Clark International Airport (APEC Hosting),0,0,0,0,270000
Aviation,Aviation,IV-B (MIMAROPA),Northern Palawan Airport Development Project,0,0,50000,0,0
Aviation,Aviation,IV-B (MIMAROPA),"Pinamalayan Airport, Oriental Mindoro",0,0,50000,0,0
Aviation,Aviation,IV-B (MIMAROPA),"San Vicente Airport, Palawan",0,0,75000,0,0
Aviation,Aviation,IV-B (MIMAROPA),Busuanga Airport,0,0,0,0,16000
Aviation,Aviation,IV-B (MIMAROPA),Capalan City Airport,100000,0,0,0,0
Aviation,Aviation,IV-B (MIMAROPA),Lubang Airport,0,0,0,0,17500
Aviation,Aviation,IV-B (MIMAROPA),Marinduque Airport,0,0,0,30000,30000
Aviation,Aviation,IV-B (MIMAROPA),Romblon Airport,0,0,0,0,15000
Aviation,Aviation,IV-B (MIMAROPA),"San Jose Airport, Occidental Mindoro",0,0,0,96521,0
Aviation,Aviation,IV-B (MIMAROPA),Taytay Airport,0,0,0,0,15000
Aviation,Aviation,V (Bicol Region),Bicol International Airport,0,0,0,400000,150000
Aviation,Aviation,V (Bicol Region),Camarines Sur Airport,0,0,0,0,5000
Aviation,Aviation,V (Bicol Region),Naga Airport,0,0,0,6700,5000
Aviation,Aviation,V (Bicol Region),Daraga International Airport Development Project,0,370000,0,0,0
Aviation,Aviation,V (Bicol Region),Legaspi Airport,0,0,0,0,46000
Aviation,Aviation,V (Bicol Region),Masbate Airport,20000,0,0,0,0
Aviation,Aviation,V (Bicol Region),"San Jose Airport, Camarines Sur",0,0,50000,0,0
Aviation,Aviation,V (Bicol Region),Virac Airport,0,0,0,0,50000
Aviation,Aviation,VI (Western Visayas),Antique Airport,0,0,0,0,17250
Aviation,Aviation,VI (Western Visayas),Iloilo International Airport (APEC Hosting),0,0,0,0,274500
Aviation,Aviation,VI (Western Visayas),Kalibo International Airport,0,0,75000,122500,237549
Aviation,Aviation,VI (Western Visayas),Kalibo International Airport (APEC Hosting),0,0,0,0,150000
Aviation,Aviation,VI (Western Visayas),Roxas Airport,0,0,0,0,125000
Aviation,Aviation,VII (Central Visayas),Dumaguete Airport,0,0,0,0,140000
Aviation,Aviation,VII (Central Visayas),Siquijor Airport,0,0,0,0,11100
Aviation,Aviation,VII (Central Visayas),Tagbilaran Airport,0,0,0,0,50000
Aviation,Aviation,VIII (Eastern Visayas),Calbayog Airport,0,0,0,0,32500
Aviation,Aviation,VIII (Eastern Visayas),Catarman Airport,0,0,50000,7800,5000
Aviation,Aviation,VIII (Eastern Visayas),Maasin Airport,10000,0,75000,0,0
Aviation,Aviation,VIII (Eastern Visayas),Ormoc Airport,0,0,0,100000,0
Aviation,Aviation,VIII (Eastern Visayas),Tacloban Airport,0,0,200000,0,200000
Aviation,Aviation,IX (Zamboanga Peninsula),Dipolog Airport,0,0,75000,37000,40000
Aviation,Aviation,IX (Zamboanga Peninsula),Pagadian Airport Development Project,0,0,50000,0,0
Aviation,Aviation,IX (Zamboanga Peninsula),Zamboanga International Airport,0,0,0,12000,0
Aviation,Aviation,X (Northern Mindanao),"Bukidnon Airport, Northern Mindanao",0,0,50000,0,5000
Aviation,Aviation,X (Northern Mindanao),Camiguin Airport,0,0,0,0,41000
Aviation,Aviation,X (Northern Mindanao),Ozamis Airport,0,0,0,0,5000
Aviation,Aviation,XI (Davao Region),Davao International Airport (APEC Hosting),0,0,0,0,507500
Aviation,Aviation,XI (Davao Region),Mati Airport (Payment of Unbooked Obligations),0,0,2000,0,0
Aviation,Aviation,XII (SOCCSKSARGEN),Cotabato Airport Development Project,0,0,65000,0,0
Aviation,Aviation,XII (SOCCSKSARGEN),General Santos International Airport,0,0,0,0,5000
Aviation,Aviation,XII (SOCCSKSARGEN),M'lang Airport,35000,0,0,0,0
Aviation,Aviation,XII (SOCCSKSARGEN),President Quirino Airport,0,0,50000,0,0
Aviation,Aviation,XIII (Caraga),"Butuan Airport, Butuan City, Agusan del Norte",0,0,50000,32200,0
Aviation,Aviation,XIII (Caraga),Siargao Airport,0,0,0,110650,0
Aviation,Aviation,XIII (Caraga),Surigao Airport,0,0,0,99000,5000
Aviation,Aviation,ARMM,Jolo Airport,0,0,0,0,54700
Aviation,Aviation,ARMM,"Sanga-Sanga Airport Development Project, Tawi-Tawi",0,0,50000,0,0
Aviation,Aviation,NCR,NAIA Terminal I Rehabilitation,0,0,0,0,1100000
Aviation,Aviation,Nationwide,"Upgrading and Rehabilitation of Passenger Concourse, Waiting Areas, Restrooms, Lobbies, and Processing Areas of Airports Nationwide",0,0,970000,0,0
Maritime,Lighthouses,I (Ilocos Region),Rehabilitation of Cape Bolinao Lighthouse (Pangasinan),0,30000,0,0,0
Maritime,Lighthouses,I (Ilocos Region),Rehabilitation of Cape Bojeadur Lighthouse (Ilocos Norte),0,0,3000,0,0
Maritime,Lighthouses,II (Cagayn Valley),"Construction of Valanga Port Lighthouse, Valanga, Itbayat, Batanes",0,0,7500,0,0
Maritime,Lighthouses,II (Cagayn Valley),"Construction of Mahatao Shelter Port Lighthouse, Mahatao, Batanes",0,0,5000,0,0
Maritime,Lighthouses,III (Central Luzon),Baler Lighthouse (Phase 1 & 2),50000,0,0,0,0
Maritime,Lighthouses,III (Central Luzon),"Construction of Lighthouse in Brgy. Wawa, Abucay, Bataan",0,5000,0,0,0
Maritime,Lighthouses,III (Central Luzon),Lighthouses in Lone District of Aurora: Dilasag,0,3000,0,0,0
Maritime,Lighthouses,III (Central Luzon),Lighthouses in Lone District of Aurora: Casiguran,0,3000,0,0,0
Maritime,Lighthouses,III (Central Luzon),Lighthouses in Lone District of Aurora: Baler,0,3000,0,0,0
Maritime,Lighthouses,III (Central Luzon),Lighthouses in Lone District of Aurora: Dingalan,0,3000,0,0,0
Maritime,Lighthouses,III (Central Luzon),Installation of Lanterns of the Lighthouse in the Lone District of Aurora - Dilasag,0,0,2000,0,0
Maritime,Lighthouses,III (Central Luzon),Installation of Lanterns of the Lighthouse in the Lone District of Aurora - Casiguran,0,0,2000,0,0
Maritime,Lighthouses,III (Central Luzon),Installation of Lanterns of the Lighthouse in the Lone District of Aurora - Baler,0,0,2000,0,0
Maritime,Lighthouses,III (Central Luzon),Installation of Lanterns of the Lighthouse in the Lone District of Aurora - Dingalan,0,0,2000,0,0
Maritime,Lighthouses,III (Central Luzon),Installation of Electrical System in Baler Lighthouse,0,0,20000,0,0
Maritime,Lighthouses,III (Central Luzon),"Installation and Construction of Navigational Aids in Lamao Port, Limay, Bataan",0,0,5400,0,0
Maritime,Lighthouses,III (Central Luzon),"Establishment/Construction of Lighthouse at the Breakwater in Abucay River, Abucay, Bataan",0,0,5400,0,0
Maritime,Lighthouses,III (Central Luzon),"Establishment/Construction of Lighthouse at the Breakwater in Binuangan River, Obando, Bulacan",0,0,5400,0,0
Maritime,Lighthouses,IV-A (CALABARZON),"Construction of Lighthouse in Morong, Rizal, Natividad Extension, Poekm Bato, Brgy. San Pedro",0,5000,0,0,0
Maritime,Lighthouses,IV-A (CALABARZON),"Construction of Lighthouses: Talisay, Batangas",0,1000,0,0,0
Maritime,Lighthouses,IV-B (MIMAROPA),"Construction of New Light Station Tower Lighthouse Keeper's Dwelling and Retaining Wall Light Station, Tubbataha, South Islet, Cagayancillo, Palawan",0,10000,0,0,0
Maritime,Lighthouses,IV-B (MIMAROPA),"Araceli Lighthouse, Araceli, Palawan",0,3000,0,0,0
Maritime,Lighthouses,IV-B (MIMAROPA),"Continuation of the Rehabilitation of Light Station in Tubbataha South Islet, Cagayancillo, Palawan",0,0,55000,0,0
Maritime,Lighthouses,IV-B (MIMAROPA),"Installation of Lanterns and Lightning Fixtures in Araceli Lighthouse, Araceli, Palawan",0,0,1000,0,0
Maritime,Lighthouses,IV-B (MIMAROPA),"Establishment/Construction of Lighthouse in Linapacan Port, Linapacan, Palawan",0,0,5400,0,0
Maritime,Lighthouses,IV-B (MIMAROPA),"Establishment/Construction of Lighthouse in Brgy. Tarumpitao, Rizal, Palawan",0,0,5400,0,0
Maritime,Lighthouses,IV-B (MIMAROPA),"Establishment/Construction of Lighthouse in Apao Port, Cagayancillo, Palawan",0,0,5400,0,0
Maritime,Lighthouses,V (Bicol Region),"Sitio Elise Point, Brgy. Patitinan Sagnay Lighthouse (Camarines Sur)",0,3000,0,0,0
Maritime,Lighthouses,V (Bicol Region),"Repair of Lighthouses in Caramoan, Camarines Sur: Sitio Malindog",0,3000,0,0,0
Maritime,Lighthouses,V (Bicol Region),"Repair of Lighthouses in Caramoan, Camarines Sur: Gibgos",0,3000,0,0,0
Maritime,Lighthouses,V (Bicol Region),"Repair of Lighthouses in Caramoan, Camarines Sur: Pasawangon",0,3000,0,0,0
Maritime,Lighthouses,V (Bicol Region),"Repair of Lighthouses in Caramoan, Camarines Sur: Gogon",0,3000,0,0,0
Maritime,Lighthouses,V (Bicol Region),"Repair of Lighthouses in Caramoan, Camarines Sur: Sitio Guinahoan",0,3000,0,0,0
Maritime,Lighthouses,V (Bicol Region),"Repair of Lighthouses in Caramoan, Camarines Sur: Daraga",0,3000,0,0,0
Maritime,Lighthouses,V (Bicol Region),"Repair of Lighthouses in Caramoan, Camarines Sur: Colongcogong",0,3000,0,0,0
Maritime,Lighthouses,V (Bicol Region),"Construction of Lighthouse in Elise Pt., Brgy. Patitinan, Sagnay, Camarines Sur",0,0,5000,0,0
Maritime,Lighthouses,V (Bicol Region),"Installation of Lanterns and Other Lighting Fixtures of Sagnay Lighthouse Sitio Elise Point, Brgy. Patitinan, Sagnay, Camarines Sur",0,0,1000,0,0
Maritime,Lighthouses,V (Bicol Region),"Installation of Lanterns and Lighting Fixtures in the Lighthouses in Caramoan, Camarines Sur - Sitio Malindog",0,0,2000,0,0
Maritime,Lighthouses,V (Bicol Region),"Installation of Lanterns and Lighting Fixtures in the Lighthouses in Caramoan, Camarines Sur - Gibgos",0,0,2000,0,0
Maritime,Lighthouses,V (Bicol Region),"Installation of Lanterns and Lighting Fixtures in the Lighthouses in Caramoan, Camarines Sur - Pasawangon",0,0,2000,0,0
Maritime,Lighthouses,V (Bicol Region),"Installation of Lanterns and Lighting Fixtures in the Lighthouses in Caramoan, Camarines Sur - Gogon",0,0,2000,0,0
Maritime,Lighthouses,V (Bicol Region),"Installation of Lanterns and Lighting Fixtures in the Lighthouses in Caramoan, Camarines Sur - Sitio Guinahoan",0,0,2000,0,0
Maritime,Lighthouses,V (Bicol Region),"Installation of Lanterns and Lighting Fixtures in the Lighthouses in Caramoan, Camarines Sur - Daraga",0,0,2000,0,0
Maritime,Lighthouses,V (Bicol Region),"Installation of Lanterns and Lighting Fixtures in the Lighthouses in Caramoan, Camarines Sur - Colongcogong",0,0,2000,0,0
Maritime,Lighthouses,V (Bicol Region),"Completion of Construction of Lighthouse in Bato, Catanduanes",0,0,2500,0,0
Maritime,Lighthouses,VII (Central Visayas),"Construction of Moalboal Port (Moalboal, Cebu)",10000,0,0,0,0
Maritime,Lighthouses,VII (Central Visayas),Construction of Lighthouses: Bohol: Cabantin Pt.: Guidulman (Bohol) and Centro Buguey (Cagayan),0,2000,0,0,0
Maritime,Lighthouses,VII (Central Visayas),"Construction of Lighthouses: Dumaguete: Siquijor, Siquijor",0,1000,0,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),Installation of Aids to Navigation (ATN) along San Juanico Straits (Leyte),0,5000,0,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Improvement of Lighthouses in the 1st District of Northern Samar: San Bernardino, Biri",0,3000,0,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Improvement of Lighthouses in the 1st District of Northern Samar: Brgy. San Antonio, Biri",0,3000,0,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),Improvement of Lighthouses in the 1st District of Northern Samar: San Jose,0,3000,0,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Improvement of Lighthouses in the 1st District of Northern Samar: Brgy. Pilar, San Antonio",0,3000,0,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),Improvement of Lighthouses in the 1st District of Northern Samar: Allen,0,3000,0,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Construction of Lighthouses in the Municipality of Lawaan, Samar - Maslog",0,0,5000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Construction of Lighthouses in the Municipality of Lawaan, Samar - Taguite",0,0,5000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Construction of Lighthouses in the Municipality of Lawaan, Samar - Monbon",0,0,5000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Construction of Lighthouses in the Municipality of Lawaan, Samar - Can-usod",0,0,5000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Construction of Lighthouses in the Municipality of Lawaan, Samar - Guinob-an",0,0,5000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Construction of Lighthouses in the Municipality of Lawaan, Samar - Bolusao",0,0,5000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Continuation of the Installation of Aids to Navigation (ATN) along San Juanico Straits, Leyte",0,0,5000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Improvement and Installation of Lighting Fixtures of Lighthouses in the 1st District of Northern Samar - San Bernardino, Biri",0,0,2000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Improvement and Installation of Lighting Fixtures of Lighthouses in the 1st District of Northern Samar - San Antonio, Biri",0,0,2000,0,0
