particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"5,810,414","2,357,276","23,388,878","437,358","33,680,621","6,320,331","63,432","18,893,487","7,048,159","8,727,255","628,924","1,360,829","1,121,137","12,494,739","1,204,208","591,636","974,342","1,290","218,164","393,041","38,013","42,741","11,262","125,807,537"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"725,984","122,670","20,689",298,"187,144","182,128",0,"2,681","103,995","11,143","73,493",0,"8,190","1,474,232","17,032","5,093","42,266",0,"13,091",0,"5,515",0,0,"2,995,644"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"111,983","23,072","1,566",112,"47,146","153,800",0,0,"41,207","1,606","14,166",0,"3,113","310,245","3,298","1,265","34,816",0,"9,883",0,"1,947",0,0,"759,225"
               Senate Electoral Tribunal,620,"1,079",500,0,"21,168","3,098",0,0,"1,764",200,358,0,250,"3,861",0,0,0,0,0,0,0,0,0,"32,898"
          Commission on Appointments,"3,230","3,721","1,403",1,"8,420","23,430",0,0,"2,000","2,212","6,052",0,755,"122,885",900,700,"2,750",0,372,0,200,0,0,"179,031"
          House of Representatives,"607,842","93,216","16,720",185,"102,964",0,0,"2,681","56,000","6,825","52,657",0,"3,682","1,024,531","12,184","2,728","4,200",0,"2,200",0,"3,368",0,0,"1,991,983"
               House Electoral Tribunal,"2,309","1,582",500,0,"7,446","1,800",0,0,"3,024",300,260,0,390,"12,710",650,400,500,0,636,0,0,0,0,"32,507"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"408,597","61,186","309,935","1,265","140,245","80,440",50,139,"101,944","32,338","18,280","650,000","71,536","262,253","23,690","8,720","68,458",100,"4,615",0,"1,550",0,0,"2,245,341"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"408,597","61,186","309,935","1,265","140,245","80,440",50,139,"101,944","32,338","18,280","650,000","71,536","262,253","23,690","8,720","68,458",100,"4,615",0,"1,550",0,0,"2,245,341"
,,,,,,,,,,,,,,,,,,,,,,,,
