psgc_prov,pov_prov_year,pov_prov_type_of_poverty,pov_prov_measure,pov_prov_universe,estimate,coefficient_of_variation,standard_error,lower_limit,upper_limit
130000000,1991,Poverty,Incidence,Among Families,5.25351,8.736679,-,-,-
140100000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
148100000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
141100000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
142700000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
143200000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
144400000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
12800000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
12900000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
13300000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
15500000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
20900000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
21500000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
23100000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
25000000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
25700000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
37700000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
30800000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
31400000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
34900000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
35400000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
36900000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
37100000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
41000000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
42100000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
43400000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
45600000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
45800000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
174000000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
175100000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
175200000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
175300000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
175900000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
50500000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
51600000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
51700000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
52000000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
54100000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
56200000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
60400000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
