psgc_regn,pov_regn_year,pov_reign_sector,pov_regn_type_of_poverty,pov_regn_measure,pov_regn_universe,estimate,coefficient_of_variation,standard_error,lower_limit,upper_limit
130000000,1991,All,Poverty,Incidence,Among Families,5.25351,8.736679,-,-,-
140000000,1991,All,Poverty,Incidence,Among Families,36.69287,14.41098,-,-,-
10000000,1991,All,Poverty,Incidence,Among Families,30.553,6.753739,-,-,-
20000000,1991,All,Poverty,Incidence,Among Families,37.26379,7.625573,-,-,-
30000000,1991,All,Poverty,Incidence,Among Families,18.05772,7.505526,-,-,-
40000000,1991,All,Poverty,Incidence,Among Families,19.11463,6.988897,-,-,-
170000000,1991,All,Poverty,Incidence,Among Families,36.59378,7.924718,-,-,-
90000000,1991,All,Poverty,Incidence,Among Families,48.02568,5.037914,-,-,-
50000000,1991,All,Poverty,Incidence,Among Families,32.26121,4.709223,-,-,-
60000000,1991,All,Poverty,Incidence,Among Families,38.24148,6.257722,-,-,-
70000000,1991,All,Poverty,Incidence,Among Families,42.27076,5.513776,-,-,-
80000000,1991,All,Poverty,Incidence,Among Families,36.4363,11.52889,-,-,-
100000000,1991,All,Poverty,Incidence,Among Families,42.61713,8.722845,-,-,-
110000000,1991,All,Poverty,Incidence,Among Families,34.11597,8.738833,-,-,-
120000000,1991,All,Poverty,Incidence,Among Families,47.38975,6.471054,-,-,-
160000000,1991,All,Poverty,Incidence,Among Families,48.46279,7.579937,-,-,-
150000000,1991,All,Poverty,Incidence,Among Families,26.87283,12.55977,-,-,-
130000000,2006,All,Poverty,Incidence,Among Families,2.93266,20.57634,0.60343,1.94001765,3.92530235
140000000,2006,All,Poverty,Incidence,Among Families,21.11017,10.34864,2.18462,17.5164701,24.7038699
10000000,2006,All,Poverty,Incidence,Among Families,19.91111,7.825971,1.55824,17.3478052,22.4744148
20000000,2006,All,Poverty,Incidence,Among Families,21.73432,7.26761,1.57957,19.13592735,24.33271265
30000000,2006,All,Poverty,Incidence,Among Families,10.32631,7.785134,0.80392,9.0038616,11.6487584
40000000,2006,All,Poverty,Incidence,Among Families,7.77153,8.954384,0.69589,6.62679095,8.91626905
170000000,2006,All,Poverty,Incidence,Among Families,32.44857,7.445193,2.41586,28.4744803,36.4226597
90000000,2006,All,Poverty,Incidence,Among Families,35.3686,4.559992,1.61281,32.71552755,38.02167245
50000000,2006,All,Poverty,Incidence,Among Families,22.65484,6.317858,1.4313,20.3003515,25.0093285
60000000,2006,All,Poverty,Incidence,Among Families,30.67916,6.11682,1.87659,27.59216945,33.76615055
70000000,2006,All,Poverty,Incidence,Among Families,33.71194,5.477947,1.84672,30.6740856,36.7497944
80000000,2006,All,Poverty,Incidence,Among Families,39.9595,6.454521,2.57919,35.71673245,44.20226755
100000000,2006,All,Poverty,Incidence,Among Families,32.08504,5.888021,1.88917,28.97735535,35.19272465
110000000,2006,All,Poverty,Incidence,Among Families,25.39392,8.292392,2.10576,21.9299448,28.8578952
120000000,2006,All,Poverty,Incidence,Among Families,31.22555,6.079806,1.89845,28.10259975,34.34850025
160000000,2006,All,Poverty,Incidence,Among Families,41.71338,5.354863,2.23369,38.03895995,45.38780005
150000000,2006,All,Poverty,Incidence,Among Families,40.52027,7.575486,3.06961,35.47076155,45.56977845
130000000,2009,All,Poverty,Incidence,Among Families,2.36802,15.24734,0.36106,1.7740763,2.9619637
140000000,2009,All,Poverty,Incidence,Among Families,19.21498,12.17102,2.33866,15.3678843,23.0620757
10000000,2009,All,Poverty,Incidence,Among Families,16.76163,8.131857,1.36303,14.51944565,19.00381435
20000000,2009,All,Poverty,Incidence,Among Families,20.22671,7.393176,1.4954,17.766777,22.686643
30000000,2009,All,Poverty,Incidence,Among Families,10.66044,7.501617,0.79971,9.34491705,11.97596295
40000000,2009,All,Poverty,Incidence,Among Families,8.7906,8.912491,0.78346,7.5018083,10.0793917
170000000,2009,All,Poverty,Incidence,Among Families,27.20997,8.707111,2.3692,23.312636,31.107304
90000000,2009,All,Poverty,Incidence,Among Families,35.30822,4.661129,1.64576,32.6009448,38.0154952
50000000,2009,All,Poverty,Incidence,Among Families,23.5981,6.811685,1.60743,20.95387765,26.24232235
60000000,2009,All,Poverty,Incidence,Among Families,26.00128,7.004016,1.82113,23.00552115,28.99703885
70000000,2009,All,Poverty,Incidence,Among Families,34.48954,4.880245,1.68317,31.72072535,37.25835465
80000000,2009,All,Poverty,Incidence,Among Families,39.50073,6.46356,2.55315,35.30079825,43.70066175
100000000,2009,All,Poverty,Incidence,Among Families,33.29909,5.92983,1.97458,30.0509059,36.5472741
110000000,2009,All,Poverty,Incidence,Among Families,25.52857,9.334943,2.38308,21.6084034,29.4487366
120000000,2009,All,Poverty,Incidence,Among Families,30.79798,6.821995,2.10104,27.3417692,34.2541908
160000000,2009,All,Poverty,Incidence,Among Families,46.04312,4.50913,2.07614,42.6278697,49.4583703
150000000,2009,All,Poverty,Incidence,Among Families,39.93632,7.903084,3.1562,34.744371,45.128269
130000000,2012,All,Poverty,Incidence,Among Families,2.62344,12.13171,0.31827,2.09988585,3.14699415
140000000,2012,All,Poverty,Incidence,Among Families,17.46791,12.54915,2.19207,13.86195485,21.07386515
10000000,2012,All,Poverty,Incidence,Among Families,14.00398,8.695508,1.21772,12.0008306,16.0071294
20000000,2012,All,Poverty,Incidence,Among Families,16.9848,9.400167,1.5966,14.358393,19.611207
30000000,2012,All,Poverty,Incidence,Among Families,10.06255,8.487046,0.85401,8.65770355,11.46739645
40000000,2012,All,Poverty,Incidence,Among Families,8.33222,8.769921,0.73073,7.13016915,9.53427085
170000000,2012,All,Poverty,Incidence,Among Families,23.58437,10.54277,2.48645,19.49415975,27.67458025
90000000,2012,All,Poverty,Incidence,Among Families,32.26953,5.592317,1.80461,29.30094655,35.23811345
50000000,2012,All,Poverty,Incidence,Among Families,22.75416,6.430837,1.46328,20.3470644,25.1612556
60000000,2012,All,Poverty,Incidence,Among Families,25.72065,6.332122,1.62866,23.0415043,28.3997957
70000000,2012,All,Poverty,Incidence,Among Families,37.39017,5.114498,1.91232,34.2444036,40.5359364
80000000,2012,All,Poverty,Incidence,Among Families,33.6608,6.335608,2.1149,30.16815245,37.15344755
100000000,2012,All,Poverty,Incidence,Among Families,32.79165,7.355793,2.41209,28.82376195,36.75953805
110000000,2012,All,Poverty,Incidence,Among Families,24.95546,9.162387,2.28652,21.1941346,28.7167854
120000000,2012,All,Poverty,Incidence,Among Families,37.06325,6.471056,2.39838,33.1179149,41.0085851
160000000,2012,All,Poverty,Incidence,Among Families,31.86927,5.794889,1.84679,28.83130045,34.90723955
150000000,2012,All,Poverty,Incidence,Among Families,48.70271,6.512423,3.17173,43.48521415,53.92020585
130000000,1991,All,Poverty,Magnitude,Among Families,86388.2,-,-,-,-
140000000,1991,All,Poverty,Magnitude,Among Families,83556.7,-,-,-,-
10000000,1991,All,Poverty,Magnitude,Among Families,205171.4,-,-,-,-
20000000,1991,All,Poverty,Magnitude,Among Families,182359.8,-,-,-,-
30000000,1991,All,Poverty,Magnitude,Among Families,221205,-,-,-,-
40000000,1991,All,Poverty,Magnitude,Among Families,234128.5,-,-,-,-
170000000,1991,All,Poverty,Magnitude,Among Families,132082.4,-,-,-,-
90000000,1991,All,Poverty,Magnitude,Among Families,395591.9,-,-,-,-
50000000,1991,All,Poverty,Magnitude,Among Families,345102.2,-,-,-,-
60000000,1991,All,Poverty,Magnitude,Among Families,345869.9,-,-,-,-
70000000,1991,All,Poverty,Magnitude,Among Families,279555.2,-,-,-,-
80000000,1991,All,Poverty,Magnitude,Among Families,156353.9,-,-,-,-
100000000,1991,All,Poverty,Magnitude,Among Families,236172.4,-,-,-,-
110000000,1991,All,Poverty,Magnitude,Among Families,187064.8,-,-,-,-
120000000,1991,All,Poverty,Magnitude,Among Families,196284.4,-,-,-,-
160000000,1991,All,Poverty,Magnitude,Among Families,163244.1,-,-,-,-
150000000,1991,All,Poverty,Magnitude,Among Families,104747.1,-,-,-,-
130000000,2006,All,Poverty,Magnitude,Among Families,73352.98,-,15093.25063,48524.58271,98181.37729
140000000,2006,All,Poverty,Magnitude,Among Families,66607.13,-,6892.945793,55268.23417,77946.02583
