association,address,officials,designation,e-mail_address,telephone/fax_number
CONFED,"Unit 1-C Legaspi, Legaspi Towers, 100,148 Legaspi, St. Legaspi Village, Makati City","Atty. Marcelino Aganon Jr., Atty. Marcelino Aganon, Atty. Orlado A. Aquino, Agapito F. Espinoza, Raymond V. Montinola, Reynaldo P. Bantug, Ferdinand Y. Maranon","President, Vice President, Executive Vice President, Treasure, Assistant Treasurer, Secretary, Assistant Secretary",confed@pldtdsl.net,"8176362 (T), 8127654 (F)"
"Agila Farm Inc, Association De Agricul-Tores Dela Carlota Y Pontevedra, Inc. (AALCPI/LCNDMPC)","BUSCO Compound, Barangay RSB, La Carlota City","Martin Romero Salas, Roberto J. Cuenca, Rafael G. Abello, Hernani H. Mijares, Gerardo G. Locsin, Stephen R. Dela Rama, Antonio C. Trebol, Rene C. Rodriguez, Arturo Ledesma, Jose Ma. Jalandoni, Vicente Z. Zuloaga, Florencio Alonso Jr., David John P. Alba","General Manager, President, 1st Vice President, 2nd Vice President, General Secretary, Assistant Secretary, Treasurer, Assistant Treasurer, Director, Director, Director, Director, General Manager",-,(034)4602788 (F)
"Asociacion De Hacenderos De Silay-Saravia, Inc. (AHSSI)","Cabug Subdivision, Silay City, Negros Occidental","James C. Ledesma, Francis De La Rama, Regina B. Martin, Joseph Conrad Ledesma, Cynthia Alimon","President, Vice President, Secretary/Treasurer, Assistant Manager, Administrative Officer",-,"(034)4410956, (034)7148900, (034)7148244"
Associated Bukidnon Sugarcane Farmers Inc. (ABSFI),"Busco Compound, Butong Quezon, Bukidnon","Pablo Lorenzo III, Gregorio Gue, Pacita Bacorno, Hon. Gloria Yaba, Joseph Caumban, Rolando Lavina, Elsita S. Calit","President/Chairman, Vice President/Director, Treasurer/Director, Director, Director, Director, Corporate Secretary",-,(088)222-5468
"Associated Planters of Silay-Sarabia, Inc. (APSSI)","Silay-Hawaiian, Central, Silay City, Negros Occidental","Alfonso Gamboa, Nicolas Jalandoni Jr., Angel Lomotan, Francis Joseph Jalandoni, Reynaldo Labayen, Luis Dela Paz, Hernan Lopez III, Juan Miguel Valderrama","Chairman, Vice Chairman, Secretary/Treasurer and Managing Director, Director, Director, Director, Director, Director",-,"(034)7090509 (F), (034)4336315 (F), (034)4950118 (F), (034)4410228, (034)4336315, (034)4952675, (034)4950304, (034)4956356, (034)4952002, (034)4345501"
"Cooperatives Inc., Bicol Sugar Planters Cooperatives Marketing Association (BISUPLA)","Building 6th Street, 6100 Bacolod City, Suite No. 04, PNB Building, General Luna Street 4400, Naga City Camarines Sur","Hernane P. Braza, Raul Delfin Divinagcia, Nicanor Calasio III, Hon. Amado Lazaro, Remedios Tan, Crisologo Andaya, Manuel Ballester, Edgardo Clasio, Nomer Manaog, Edgardo Violeta, Merly Marco","Corporate Secretary, President, Vice President, Treasurer, Secretary, Member, Member, Member, Member, Member, Bookkeepper",-,-
"Bukidnon Integrated Planters Association, Inc. (BIPA)","CSCI Compound, North Poblacion, Maramag, Bukidnon","Romeo E. Anay, Ben B. Calunod, Manolito G. Garces, Marilyn S. Palomera, Teresa Z. Romanos, Renato M. Maestre, Ma. Hedeliza B. Come, Elsa Escalona, Jessie Lacayanga, Jab Gipylla, Dominico Loja, Roberto Sungahid","President, Vice President, Executive Officer Adviser, Executive Officer Treasurer, Board Secretary, General Manager, Board of Trustee, Board of Trustee, Board of Trustee, Board of Trustee, Board of Trustee, Board of Trustee",-,"09172414939, 09269448861, 09177216018, 09165305665, 09052351607, 09286207439, 09052849335, 09193991364, 09301556512, 09177068268, 09394235092, 09186456165"
Camarines Sur Sugarcane Planters Association Inc. (CSSPAI),"PENSUMIL, Compound, Himaao, Pili, Camarines Sur","Sabino Briones, Irwin Blasco, Raul Carreras, Abundio Felin, Rowena Bino, Nilda Beguia","President, Vice President, Treasurer, Secretary, Auditor, Manager",-,4788960
Capiz First Federation of United Cooperatives Inc. (CAFFUCI),"Poblacion, President Roxas, Capiz","Dr. Josefina A. Tinsay, Salome C. Andrada, Braulio Ballon Jr., Rafael Suello, Gaudencio Bereber, Sofia A. Arcenas","Chairperson, Managing Director, Board of Director, Board of Director, Board of Director, Board of Director, Corporate Secretary",caffed91@yahoo.com,"(036)5220988, (036)5278525, (036)6340186, 0926555971, (036)5245505, 09173121714"
"Cat Planters Association Inc., Cental lopez Planters' Association Inc. (CLOPA)","San Miguel, Central Lopez, Compoud, Barangay Paraiso, Sagay City, Negros Occidental","Rosario Sembrano, Jose H. Puey Jr., Pedro Katalbas III, Teodoro Analucas Jr., Marvin T. Sy, Leandro Alejo Jr., Anthony Morada, Raymundo De La Paz, Efren Y. Pilla, Jose F. Puey III, Analisa Maja","Acting Corporate Secretary, President, Vice President, Secretary, Treasurer, Board of Director, Board of Director, Board of Director, Board of Director, Board of Director, Office Manager",-,"(034)4880285, (034)4765041, (034)4761856, (034)4765027, 09228446922, (034)4343817, (034)4880120, (034)4335552"
Consolidated Agri-Del Carmen Pampanga Sugar Producers Marketing Association Inc.,"BUSCO Compound, Basecom Compound, Sto. Nino, San Fernando City, Pampanga","Martin Romero Salas, Angelo Pingol, Carlito Gomez, Ruben Dizon Jr., Francisco Reyes Jr., Rodolfo Medina, Eduardo David","General Manager, President, Vice President, Secretary/Treasurer, Board Chairman, Coordinator-West, Coordinator-East",-,(045)9637817
Dos Hermanas Multi-Purpose Cooperative Inc.,"Cor. Filipina and Mabini Street Talisay City, Negros Occidental","Raymond L. Gaston, Rafael T. Lizares, Jr., Reynaldo G. Sian, Dr. Aquiles Perdigueros","Chairman, Vice Chairman, Treasurer, Secretary",dhmpci_talisay@yahoo.com,(034)4950353
First Farmers Association,"Cor. Filipina and Mabini Street Talisay City, Negros Occidental","Nicolas Ledesma Jr., Michael Cumagun, Aquiles Perdigueros, Bernard Trebol, Jude Thaddeus Sayson, Gerardo Ledesma, Francisco Cuenca, Leandro de Leon, Raymond Gaston, Oscar Villanueva Jr., Domingo Marquinez, Rafael Lizares","President, Vice President, Secretary, Director, Director, Director, Treasurer,  Director,  Director,  Director,  Director, Corporate Secretary",ffa_talisay@yahoo.com.ph,"(034)4950353, (034)4950350"
"Greater Bukidnon Inc. (ISEPI), Multi-Purpose Cooperative","BUSCO Compound, National Highway, Lopez, Barangay Paraiso","Edgar Grino Jr., Eusebio Lopez, John Ramos","Chairman, Corporate Secretary, Corporate Secretary",-,-
La Carlota Planters' association Inc. (LCPA),"Emy's Building, Corner Yunque and Gurrea Streets, La Carlota City","Bonifacio Pena, Runelo Cervales, Mario Pena Jr., Corazon Alvanez, Rodrigo A. Niero Jr.","President, Vice President, Secretary, Treasusrer, Manager",-,(034)4323219
