particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_30_percent,mitigation_fund_70_percent
Current Aproppriations,Current Aproppriations,Current Aproppriations,44046303.3,102774707.7
Current Aproppriations,Add-Continuing Appropriation,Add-Continuing Appropriation,-,-
Current Aproppriations,Add-Continuing Appropriation,Prior year's Appropriation transferred to the Special Trust Fund,-,-
Current Aproppriations,Add-Continuing Appropriation,Total Funds Available,44046303.3,102774707.7
Less-Utilization,Pre-Disaster Preparedness Programs,Pre-Disaster Preparedness Programs,-,675000
Less-Utilization,Pre-Disaster Preparedness Programs,BENRO Seedlings,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,Trainings,-,1758648
Less-Utilization,Pre-Disaster Preparedness Programs,Equipment,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,Medical Supplies,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,Sub-Total,-,675000
Less-Utilization,Relief Goods,Relief Goods,-,-
Grand Total,Grand Total,Grand Total,-,675000
Balance,Balance,Balance,44046303.3,102099707.7
