particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,mitigation_fund_70_percent
Current Aproppriations,Current Aproppriations,41246765.6,96242453.04
Current Aproppriations,Prior year's Appropriation transferred to the Special Trust Fund,-,-
Current Aproppriations,Total Funds Available,-,137489218.6
Less-Utilization,Pre-Disaster Preparedness Programs,-,-
Less-Utilization,BENRO Seedlings,-,757000
Less-Utilization,Trainings,-,3673973.88
Less-Utilization,Equipment,-,23894891.82
Less-Utilization,Medical Supplies,-,4055700
Less-Utilization,Relief Goods,63197595.59,-
Grand Total,Grand Total,-,95579161.29
Balance,Balance,-,41910057.35
