particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_30_percent,mitigation_fund_70_percent
Current Aproppriations,Current Aproppriations,Current Aproppriations,42634759.35,99481105.16
Current Aproppriations,Add-Continuing Appropriation,Prior year's Appropriation transferred to the Special Trust Fund,-,-
Current Aproppriations,Total Funds Available,Total Funds Available,-,142115864.5
Less-Utilization,Less-Utilization,Less-Utilization,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,Pre-Disaster Preparedness Programs,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,BENRO Seedlings,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,Trainings,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,Equipment,-,-
Less-Utilization,Pre-Disaster Preparedness Programs,Medical Supplies,-,-
Relief Goods,Relief Goods,Relief Goods,-,-
Grand Total,Grand Total,Grand Total,-,-
Balance,Balance,Balance,-,142115864.5
