particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations (CY 2014),19681796.4,45924191.6,-,-,-,65605988
Sources of Funds,Continuing Appropriations (Balances for CY 2011 & 2012),21020239.6,49047225.73,-,-,-,70067465.33
Sources of Funds,Previous Year's  Appropriation transferred to the Special Trust Funds - (Balance for CY 2013-For Transfer),5068715.85,28292546.04,-,-,-,33361261.89
Sources of Funds,Total Funds Available,45770751.85,123263963.4,-,-,-,169034715.2
Utilization,Food Supplies Expense,375000,-,-,-,-,375000
Utilization,Drugs and Medicines,-,-,-,-,-,-
Utilization,Training Expenses,-,10000,-,-,-,10000
Utilization,"Gasoline, Oil and Lubricants Expense",-,57480,-,-,-,-
Utilization,Other Maintenance and Other Operating Expenses,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfer to other LGU's,-,-,-,-,-,-
Utilization,Other Maintenance andd Other Operating Expenses,-,740200,-,-,-,740200
Utilization,Total Utilization,375000,807680,-,-,-,1125200
Unutilized Balance,Unutilized Balance,45395751.85,122456283.4,-,-,-,167909515.2
