particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations (CY 2014),19681796.4,45924191.6,-,-,-,65605988
Sources of Funds,Continuing Appropriations (Balances for CY 2011 & 2012),21020239.6,49047225.73,-,-,-,70067465.33
Sources of Funds,Previous Year's  Appropriation transferred to the Special Trust Funds ,9412314.71,22996201.26,-,-,-,32408515.97
Sources of Funds, Total Funds Available,50114350.71,117967618.6,-,-,-,168081969.3
Utilization,Food Supplies Expense,375000,10000,-,-,-,385000
Utilization,Drugs and Medicines,-,-,-,-,-,-
Utilization,Training Expenses,-,112000,-,-,-,112000
Utilization,"Gasoline, Oil and Lubricants Expense",-,57480,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,5400000,-,-,-,5400000
Utilization,Transfer to other LGU's,-,-,-,-,-,-
Utilization,Other Maintenance and Other Operating Expenses,-,6739150,-,-,-,6739150
Utilization,Total Utilization,375000,12318630,-,-,-,12636150
Unutilized Balance,Unutilized Balance,49739350.71,105648988.6,-,-,-,155445819.3
