occupation_type,occupation,number_of_registered_participants
Employed,"Professional, Technical, and Related Workers",84
Employed,"Managerial, Executive, and Administrative Workers",7
Employed,Clerical Workers,87
Employed,Sales Workers,35
Employed,Service Workers,102
Employed,"Agriculture, Animal Husbandry, Forestry Workers, and Fishermen",0
Employed,"Process, Transport, Equipment Operators, and Laborers",23
Employed,Members of the Armed Forces,0
Unemployed,Housewives,6
Unemployed,Students,30
Unemployed,Out of School Youth,16
Unemployed,Refugees,0
Unemployed,Unemployed or Not Reporting Any Occupation,1383
Unemployed,No Response,575
Unemployed,Total by Occupation,2348
