particular,function_or_program_or_project_or_activity_1,function_or_program_or_project_or_activity_2,function_or_program_or_project_or_activity_3,code,annual_appropriation,allotments,obligation,balance_of_appropriation,balances_of_allotments
General Fund CY 2012,Executive Services,Executive Services,Executive Services,1011,-,-,-,-,-
General Fund CY 2012,Executive Services,General Administration,Personal Services,100,38080000,26917500,16427580.56,11162500,10489919.44
General Fund CY 2012,Executive Services,General Administration,Maintenance and Other Operating Expenses,200,30600000,15892027.5,7144612.06,14707972.5,8747415.44
General Fund CY 2012,Executive Services,General Administration,Capital Outlay,300,3000000,750000,177875,2250000,572125
General Fund CY 2012,LIGA,LIGA,LIGA,1011-D,-,-,-,-,-
General Fund CY 2012,LIGA,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,350000,78750,29684.21,271250,49065.79
General Fund CY 2012,LIGA,Capital Outlay,Capital Outlay,300,50000,12500,-,37500,12500
General Fund CY 2012,Peace and Order,Peace and Order,Peace and Order,1011-G,-,-,-,-,-
General Fund CY 2012,Peace and Order,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,18690000,6332500,1539133.99,12357500,4793366.01
General Fund CY 2012,Peace and Order,Capital Outlay,Capital Outlay,300,2000000,625000,143950,1375000,481050
General Fund CY 2012,ICT-GIS,ICT-GIS,ICT-GIS,1011-T,-,-,-,-,-
General Fund CY 2012,ICT-GIS,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,200000,45000,-,155000,45000
General Fund CY 2012,Maintenance of Prisonners-JAIL,Maintenance of Prisonners-JAIL,Maintenance of Prisonners-JAIL,1012,-,-,-,-,-
General Fund CY 2012,Maintenance of Prisonners-JAIL,Personal Services,Personal Services,100,6860000,1854500,1263214.32,5005500,591285.68
General Fund CY 2012,Maintenance of Prisonners-JAIL,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,2715000,1115325,771347.69,1599675,343977.31
General Fund CY 2012,Maintenance of Prisonners-JAIL,Capital Outlay,Capital Outlay,300,30000,7500,-,22500,7500
General Fund CY 2012,Legislative Services (SP),Legislative Services (SP),Legislative Services (SP),1021,-,-,-,-,-
General Fund CY 2012,Legislative Services (SP),Personal Services,Personal Services,100,14656000,8493250,5009680.16,6162750,3483569.84
General Fund CY 2012,Legislative Services (SP),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,17931000,8432000,7124034.97,9499000,1307965.03
General Fund CY 2012,Legislative Services (SP),Capital Outlay,Capital Outlay,300,1030000,507500,491880,522500,15620
General Fund CY 2012,Legislative Services (SP),Provincial Vice Governor's Office,Provincial Vice Governor's Office,1021-1,-,-,-,-,-
General Fund CY 2012,Legislative Services (SP),Provincial Vice Governor's Office,Personal Services,100,3521000,947500,540693,2573500,406807
General Fund CY 2012,Legislative Services (SP),Provincial Vice Governor's Office,Maintenance and Other Operating Expenses,200,9779000,2242800,157596.5,7536200,2085203.5
General Fund CY 2012,Legislative Services (SP),Support Services (Secretariat),Support Services (Secretariat),1022,-,-,-,-,-
General Fund CY 2012,Legislative Services (SP),Support Services (Secretariat),Personal Services,100,15889000,4499250,2185672,11389750,2313578
General Fund CY 2012,Legislative Services (SP),Support Services (Secretariat),Maintenance and Other Operating Expenses,200,1293000,588225,406029.31,704775,182195.69
General Fund CY 2012,Planning and Development Coordination,Planning and Development Coordination,Planning and Development Coordination,1041,-,-,-,-,-
General Fund CY 2012,Planning and Development Coordination,Personal Services,Personal Services,100,7983000,2090250,1736610.91,5892750,353639.09
General Fund CY 2012,Planning and Development Coordination,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,1435000,328275,127412.77,1106725,200862.23
General Fund CY 2012,Planning and Development Coordination,Capital Outlay,Capital Outlay,300,30000,15000,9460,15000,5540
General Fund CY 2012,General Services (Gen. Services Officer),General Services (Gen. Services Officer),General Services (Gen. Services Officer),1061,-,-,-,-,-
General Fund CY 2012,General Services (Gen. Services Officer),Personal Services,Personal Services,100,16766000,4475000,3606492.24,12291000,868507.76
General Fund CY 2012,General Services (Gen. Services Officer),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,3685000,1562625,1027205.68,2122375,535419.32
General Fund CY 2012,General Services (Gen. Services Officer),Capital Outlay,Capital Outlay,300,200000,50000,980,150000,49020
General Fund CY 2012,General Services (Gen. Services Officer),BAC,BAC,1061-1,-,-,-,-,-
General Fund CY 2012,General Services (Gen. Services Officer),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,800000,272250,108104.55,527750,164145.45
General Fund CY 2012,Budgeting Services (Budget Officer),Budgeting Services (Budget Officer),Budgeting Services (Budget Officer),1071,-,-,-,-,-
General Fund CY 2012,Budgeting Services (Budget Officer),Personal Services,Personal Services,100,3687000,1756500,1119119.6,1930500,637380.4
General Fund CY 2012,Budgeting Services (Budget Officer),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,1034000,249300,49934.78,784700,199365.22
General Fund CY 2012,Budgeting Services (Budget Officer),Capital Outlay,Capital Outlay,300,50000,12500,-,37500,12500
General Fund CY 2012,Accounting Services (Accountant),Accounting Services (Accountant),Accounting Services (Accountant),1081,-,-,-,-,-
General Fund CY 2012,Accounting Services (Accountant),Personal Services,Personal Services,100,12151000,3333750,2465505.97,8817250,868244.03
General Fund CY 2012,Accounting Services (Accountant),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,778000,242550,65718.29,535450,176831.71
General Fund CY 2012,Accounting Services (Accountant),Capital Outlay,Capital Outlay,300,50000,12500,-,37500,12500
General Fund CY 2012,Treasury Services (Treasurer),Treasury Services (Treasurer),Treasury Services (Treasurer),1091,-,-,-,-,-
General Fund CY 2012,Treasury Services (Treasurer),Personal Services,Personal Services,100,22179000,5814750,4189162.39,16364250,1625587.61
General Fund CY 2012,Treasury Services (Treasurer),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,1695000,401175,200851.44,1293825,200323.56
General Fund CY 2012,Treasury Services (Treasurer),Capital Outlay,Capital Outlay,300,70000,17500,-,52500,17500
General Fund CY 2012,Assessment of Real Property (Assessor),Assessment of Real Property (Assessor),Assessment of Real Property (Assessor),1101,-,-,-,-,-
General Fund CY 2012,Assessment of Real Property (Assessor),Personal Services,Personal Services,100,10042000,2645000,2382082.39,7397000,262917.61
General Fund CY 2012,Assessment of Real Property (Assessor),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,480000,136575,90817.4,343425,45757.6
General Fund CY 2012,Assessment of Real Property (Assessor),Capital Outlay,Capital Outlay,300,50000,12500,-,37500,12500
General Fund CY 2012,Auditing Services,Auditing Services,Auditing Services,1111,-,-,-,-,-
General Fund CY 2012,Auditing Services,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,510000,139687.5,77915.4,370312.5,61772.1
General Fund CY 2012,Auditing Services,Capital Outlay,Capital Outlay,300,60000,15000,-,45000,15000
General Fund CY 2012,Internal Audit Unit Office,Internal Audit Unit Office,Internal Audit Unit Office,1112,-,-,-,-,-
General Fund CY 2012,Internal Audit Unit Office,Personal Services,Personal Services,100,1953000,488250,35910,1464750,452340
General Fund CY 2012,Internal Audit Unit Office,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,370000,88650,8797.56,281350,79852.44
General Fund CY 2012,Internal Audit Unit Office,Capital Outlay,Capital Outlay,300,92000,21000,-,71000,21000
General Fund CY 2012,Information Services-Library Services,Information Services-Library Services,Information Services-Library Services,1122,-,-,-,-,-
General Fund CY 2012,Information Services-Library Services,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,300000,107250,73491.48,192750,33758.52
General Fund CY 2012,Legal Services (Atty. or Legal Officer),Legal Services (Atty. or Legal Officer),Legal Services (Atty. or Legal Officer),1131,-,-,-,-,-
General Fund CY 2012,Legal Services (Atty. or Legal Officer),Personal Services,Personal Services,100,879000,222750,208300.12,656250,14449.88
General Fund CY 2012,Legal Services (Atty. or Legal Officer),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,190000,52650,30377.42,137350,22272.58
General Fund CY 2012,Legal Services (Atty. or Legal Officer),Capital Outlay,Capital Outlay,300,20000,4500,-,15500,4500
General Fund CY 2012,Prosecution Services (fiscal),Prosecution Services (fiscal),Prosecution Services (fiscal),1141,-,-,-,-,-
General Fund CY 2012,Prosecution Services (fiscal),Personal Services,Personal Services,100,524000,145500,100014.34,378500,45485.66
General Fund CY 2012,Prosecution Services (fiscal),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,185000,41625,16536.78,143375,25088.22
General Fund CY 2012,Public Attorney's Service (PAO)-Oroq City,Public Attorney's Service (PAO)-Oroq City,Public Attorney's Service (PAO)-Oroq City,1142,-,-,-,-,-
General Fund CY 2012,Public Attorney's Service (PAO)-Oroq City,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,65000,18000,3728.43,47000,14271.57
General Fund CY 2012,Parole and Probation Office,Parole and Probation Office,Parole and Probation Office,1143,-,-,-,-,-
General Fund CY 2012,Parole and Probation Office,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,65000,12000,10670.83,53000,1329.17
General Fund CY 2012,Dep't. of Interior and Local Gov't. (DILG),Dep't. of Interior and Local Gov't. (DILG),Dep't. of Interior and Local Gov't. (DILG),1144,-,-,-,-,-
General Fund CY 2012,Dep't. of Interior and Local Gov't. (DILG),Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,65000,12500,-,52500,12500
General Fund CY 2012,Public Attorney's Service (PAO)-Ozms City,Public Attorney's Service (PAO)-Ozms City,Public Attorney's Service (PAO)-Ozms City,1145,-,-,-,-,-
General Fund CY 2012,Public Attorney's Service (PAO)-Ozms City,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,65000,12000,-,53000,12000
General Fund CY 2012,Administration of Justice,Regional Trial Court (Clerk of Court),Regional Trial Court (Clerk of Court),1151,-,-,-,-,-
General Fund CY 2012,Administration of Justice,Regional Trial Court (Clerk of Court),Maintenance and Other Operating Expenses,200,65000,14625,2097.56,50375,12527.44
General Fund CY 2012,Administration of Justice,Regional Trial Court (RTC 12),Regional Trial Court (RTC 12),1151-1,-,-,-,-,-
General Fund CY 2012,Administration of Justice,Regional Trial Court (RTC 12),Maintenance and Other Operating Expenses,200,65000,14625,2821.75,50375,11803.25
General Fund CY 2012,Administration of Justice,Regional Trial Court (RTC -13),Regional Trial Court (RTC -13),1151-2,-,-,-,-,-
General Fund CY 2012,Administration of Justice,Regional Trial Court (RTC -13),Maintenance and Other Operating Expenses,200,65000,14625,-,50375,14625
General Fund CY 2012,Administration of Justice,Regional Trial Court (RTC-14),Regional Trial Court (RTC-14),1151-3,-,-,-,-,-
General Fund CY 2012,Administration of Justice,Regional Trial Court (RTC-14),Maintenance and Other Operating Expenses,200,63000,14175,-,48825,14175
General Fund CY 2012,Administration of Justice,Regional Trial Court (RTC-14),Capital Outlay,300,2000,500,-,1500,500
General Fund CY 2012,Administration of Justice,Regional Trial Court-Calamba,Regional Trial Court-Calamba,1151-4,-,-,-,-,-
General Fund CY 2012,Administration of Justice,Regional Trial Court-Calamba,Maintenance and Other Operating Expenses,200,10000,2250,-,7750,2250
General Fund CY 2012,Administration of Justice,Misc. Aid to Barangay,Misc. Aid to Barangay,9999-1,-,-,-,-,-
General Fund CY 2012,Administration of Justice,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,337000,-,-,337000,-
General Fund CY 2012,Administration of Justice,20% DF-Rehabilitation and Maintenance Prov'l roads,20% DF-Rehabilitation and Maintenance Prov'l roads,023-200,6850000,1712500,-,5137500,1712500
