particulars,function_program_project_activity_1,function_program_project_activity_2,code,annal_appropriation,allotments,obligation,balance_of_appropriation,balances_of_allotments
20% Development Fund,20% Development Fund,Rehabilitation and Maintenance Provincial Roads,23-200,6850000,5137500,-,1712500,5137500
20% Development Fund,20% Development Fund,Purchase of Heavy Equipments,43-300,5037000,3777750,-,1259250,3777750
20% Development Fund,20% Development Fund,Construction MOEDRC Dormitory,68-300,1800000,1800000,1800000,-,-
20% Development Fund,20% Development Fund,PRMF Road Rehabilitation Projects,72-200,6700000,5025000,-,1675000,5025000
20% Development Fund,Economic Services,RUD Projects (RUDP),20-200,23000000,17250000,15036134.76,5750000,2213865.24
20% Development Fund,Economic Services,Environmental Management,44-200,2000000,1500000,519600,500000,980400
20% Development Fund,Economic Services,RUDP for LGU-Cities/Municipality,67-200,25500000,19125000,16500000,6375000,2625000
20% Development Fund,Economic Services,UDP for LGU-Barangays,69-200,10000000,7500000,6450000,2500000,1050000
20% Development Fund,Economic Services,Community Fund for Agri Development,73-200,2000000,2000000,2000000,-,-
20% Development Fund,Economic Services,MRDP Plaridel-Bal-Calamba,74-300,2500000,1875000,-,625000,1875000
20% Development Fund,Economic Services,MRDP Alor-Pana-Jimen-Sinac,75-300,2500000,1875000,-,625000,1875000
20% Development Fund,Economic Services,Productivity of Agri and Forest,77-200,3000000,2250000,1189227,750000,1060773
20% Development Fund,Health Services,Medical Equipments,76,300,3500000,2625000,875000,2625000
20% Development Fund,Social Services-Other Purposes,DBP Loan Repayment,70-200,14000000,10500000,9278569.07,3500000,1221430.93
20% Development Fund,Social Services-Other Purposes,PVB Loan Repayment for Interest,71-200,3000000,2250000,-,750000,2250000
20% Development Fund,Grand Total,Grand Total,-,111387000,84490250,52773530.83,26896750,31716719.17
General Fund,Executive Services-General Administration,Executive Services-General Administration,1011,-,-,-,-,-
General Fund,Executive Services-General Administration,Personal Services,1011-100,53886584,48878684,43484228.3,5007900,5394455.7
General Fund,Executive Services-General Administration,Maintenance and Other Operating Expenses ,1011-200,51741611,45725511,41482466.66,6016100,4243044.34
General Fund,Executive Services-General Administration,Capital Outlay,1011-300,3000000,2615000,1056826.89,385000,1558173.11
General Fund,LIGA,LIGA,1011-D,-,-,-,-,-
General Fund,LIGA,Maintenance and Other Operating Expenses ,1011-D-200,350000,236250,138969.57,113750,97280.43
General Fund,LIGA,Capital Outlay,1011-D-300,50000,37500,22131,12500,15369
General Fund,Peace and Order,Peace and Order,1011-G,-,-,-,-,-
General Fund,Peace and Order,Maintenance and Other Operating Expenses ,1011-G-200,12607000,10340800,8907156.86,2266200,1433643.14
General Fund,Peace and Order,Capital Outlay,1011-G-300,2000000,1750000,1643950,250000,106050
General Fund,ICT-GIS,ICT-GIS,1011-T,-,-,-,-,-
General Fund,ICT-GIS,Maintenance and Other Operating Expenses ,1011-T-200,200000,135000,100747,65000,34253
General Fund,Maintenance of Prisoners -JAIL,Maintenance of Prisoners-JAIL,1012,-,-,-,-,-
