particulars_1,particulars_2,amount
Receipt from SEF (net of discount),-,2109264.29
Less- Disbursement-Personal Services,Other Bonuses and Allowances,-
Less- Disbursement-Personal Services,Honoraria,860400
Less- Disbursement-Personal Services,Year End Bonus,-
Less- Disbursement- Maintenance and Other Operating Expenses,Traveling Expenses,-
Less- Disbursement- Maintenance and Other Operating Expenses,Training Expenses,-
Less- Disbursement- Maintenance and Other Operating Expenses,Scholarship Expenses,-
Less- Disbursement- Maintenance and Other Operating Expenses,Office Supplies Expenses,1450
Less- Disbursement- Maintenance and Other Operating Expenses,Drugs and Medicines Expenses,-
Less- Disbursement- Maintenance and Other Operating Expenses,"Fuel, Oil and Lubricants Expenses",-
Less- Disbursement- Maintenance and Other Operating Expenses,Other Supplies Expenses,-
Less- Disbursement- Maintenance and Other Operating Expenses,Electricity Expenses,-
Less- Disbursement- Maintenance and Other Operating Expenses,Telephone Expenses- Landline,6124.94
Less- Disbursement- Maintenance and Other Operating Expenses,Awards and Indemnities,-
Less- Disbursement- Maintenance and Other Operating Expenses,Repairs and Maintainance - School Building,6717.9
Less- Disbursement- Maintenance and Other Operating Expenses,Repairs and Maintainance - Motor Vehicles,-
Less- Disbursement- Maintenance and Other Operating Expenses,Donations,-
Less- Disbursement- Maintenance and Other Operating Expenses,Depreciation- School Buildings,-
Less- Disbursement- Maintenance and Other Operating Expenses,Depreciation- Furniture and Fixtures,-
Less- Disbursement- Maintenance and Other Operating Expenses,"Depreciation- Other Property, Plant and Equipment",-
Less- Disbursement- Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,2400
Less- Disbursement- Capital Outlay,Major improvement- School Building,-
Less- Disbursement- Capital Outlay,Office Equipment,-
Less- Disbursement- Capital Outlay,Sports Equipment,-
Less- Disbursement- Capital Outlay,"Other Property, Plant and Equipment",-
Balance,-,1232171.45
