particulars_1,particulars_2,lrrmf_quick_response_fund_30_percent,lrmmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,4962052.69,11578122.96,-,-,-,16540175.65
Sources of Funds,Continuing Appropriations,2802279.1,-,-,-,-,2802279.1
Sources of Funds,Previous Years Appropriations transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,7764331.79,11578122.96,-,-,-,19342454.75
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Other Maintenance and Operating  Expenses,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,-,-,-,-,-,-
Utilization,Unutilized Balance,7764331.79,11578122.96,-,-,-,19342454.75
