particulars_1,particulars_2,lrrmf_quick_reponse_fund_30_percent,lrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,4962052.69,11578122.96,-,-,-,16540175.65
Sources of Funds,Continuing Appropriations,2802279.1,-,-,-,-,2802279.1
Sources of Funds,Previous Years Appropriations transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,7764331.79,11578122.96,-,-,-,19342454.75
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Other Maint.   and Oper  Expenses,-,3350,-,-,-,3350
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,58155,-,-,-,58155
Utilization,Const. of Evacuation Center,-,-,-,-,-,-
Utilization,Motor Vehicle,-,2780000,-,-,-,2780000
Utilization,Other Public Infrastructure,-,2327779.79,-,-,-,2327779.79
Utilization,"Const. In Progress-Irrigation,Canal &Laterals",-,4181397.45,-,-,-,4181397.45
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,-,9350682.24,-,-,-,9350682.24
Utilization,Unutilized Balance,7764331.79,2227440.72,-,-,-,9991772.51
