particulars_1,particulars_2,lrrmf_quick_response_fund_30_percent,lrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,5067052.7,11823122.95,-,-,-,16890175.65
Sources of Funds,Continuing Appropriations,5391288.02,2093258.97,-,-,-,7484546.99
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,10458340.72,13916381.92,-,-,-,24374722.64
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,-,-,-,-,-,               -
Utilization,Unutilized Balance,10458340.72,18916381.42,-,-,-,14374722.64
