programs_or_projects_1,programs_or_projects_2,programs_or_projects_3,appropriation,releases_allotment,obligation,balance_appropriation,balance_allotment,percent_of_accomplishment_physical_as_per_ppdo,percent_of_accomplishment_physical_as_per_agency,financial,remarks_or_output
Economic Services-Boosted Utilization of Grains in Agusan del Sur (BUGAS),Economic Services-Boosted Utilization of Grains in Agusan del Sur (BUGAS),Economic Services-Boosted Utilization of Grains in Agusan del Sur (BUGAS),4000000,-,-,-,-,-,-,-,-
Economic Services-Boosted Utilization of Grains in Agusan del Sur (BUGAS),Purchase of Packets of Farm Equipment,Purchase of Packets of Farm Equipment,1160000,1160000,1159400,0,600,"58% completed PO served to winning bidder, eqpt. For delivery (based on",60% on going (12/4/13) ,-,10 Packets purchased
Economic Services-Boosted Utilization of Grains in Agusan del Sur (BUGAS),Construction of Multi-Purpose Drying Pavement(MPDP)  ,Construction of Multi-Purpose Drying Pavement(MPDP)  ,1400000,1400000,1376030,0,23970,"73% Completed, 2 units Already constructed while 8 units are on-going construction. (based on 11/30/13 report)","73% completed,2 units Already constructed while 8 units are on-goingconstruction.(1/16/14) ",0.9829,10 Units MPDP constructed 
Economic Services-Boosted Utilization of Grains in Agusan del Sur (BUGAS),Construction of Multi-Purpose Open Storage (MPOS)  ,Construction of Multi-Purpose Open Storage (MPOS)  ,750000,750000,699074.06,0,50925.94,"59% Completed, on going delivery of materials(based on 11/30/13 report)","59% completed, on going delivery of materials(1/16/14)",0.9321,10 units MPOS constructed
Economic Services-Boosted Utilization of Grains in Agusan del Sur (BUGAS),Purchase of Drum Seeder ,Purchase of Drum Seeder ,165000,165000,165000,0,0,"60% Completed PO winning bidder, eqpt. for delivery (based on 11/30/13 report)","60% completed PO winning bidder, eqpt.for delivery (12/4/13 )",1,22 units drum seeder purchased
Economic Services-Boosted Utilization of Grains in Agusan del Sur (BUGAS),Purchase of Hand Tractor (Kuliglig) with accessories,Purchase of Hand Tractor (Kuliglig) with accessories,525000,525000,525000,0,0,"60% Completed PO winning bidder, eqpt. for delivery (based on 11/30/13 report)","60% completed PO winning bidder, eqpt.for delivery (12/4/13 )",1,5 units Hand Tractor purchased
Economic Services-Boosted Utilization of Grains in Agusan del Sur (BUGAS),Total-BUGAS ,Total-BUGAS ,4000000,4000000,3924504.06,0,75495.94,-,-,0.9811,-
Economic Services-Community Based Sustainable Ecosystem,Upland Sustainable Agri-forestry ,Upland Sustainable Agri-forestry ,6764330,-,-,-,-,-,-,-,-
Economic Services-Community Based Sustainable Ecosystem,Upland Sustainable Agri-forestry Development (USAD)Program-Rubber Development,Upland Sustainable Agri-forestry Development (USAD)Program-Rubber Development,2000000,-,-,-,-,-,-,-,-
Economic Services-Community Based Sustainable Ecosystem,Upland Sustainable Agri-forestry Development (USAD)Program-Rubber Development,Establishment of Rubber Budwood Garden ,1744000,1744000,1743970.6,0,29.4,Planting of rubber is on-going (based Nov. 30 or 13 report),-,1,"14,000 rubber budded seedlings, fence established"
Economic Services-Community Based Sustainable Ecosystem,Upland Sustainable Agri-forestry Development (USAD)Program-Rubber Development,Establishment of Demo Farm ,256000,256000,256000,0,0,Preparation of PCA required documents as to coconut cutting permit (based Nov. 30 report),-,1,Demo farm established
Economic Services-Community Based Sustainable Ecosystem,Total for Rubber Development ,Total for Rubber Development ,2000000,2000000,1999970.6,0,29.4,-,-,1,-
Economic Services-Community Based Sustainable Ecosystem,Upland Sustainable Agri-forestry Development (USAD)Program-Cacao Production,Upland Sustainable Agri-forestry Development (USAD)Program-Cacao Production,3096000,3096000,0,0,3096000,-,-,0,Realigned as per Res. # 8 series 2013 
Economic Services-Community Based Sustainable Ecosystem,Upland Sustainable Agri-forestry Development (USAD)Program-Cutflower Production,Upland Sustainable Agri-forestry Development (USAD)Program-Cutflower Production,540000,540000,0,0,540000,-,-,0,-
Economic Services-Community Based Sustainable Ecosystem,Upland Sustainable Agri-forestry Development (USAD)Program-Indigenous Fruit Trees Seedling Production,Upland Sustainable Agri-forestry Development (USAD)Program-Indigenous Fruit Trees Seedling Production,1000000,1000000,0,0,1000000,-,-,0,Realigned as per Res. # 8 series 2013 
Economic Services-Community Based Sustainable Ecosystem,Upland Rice Production,Upland Rice Production,110000,110000,0,0,110000,-,-,0,Realigned as per Res. # 8 series 2013 
Economic Services-Community Based Sustainable Ecosystem,Upland Sustainable Agri-forestry Development (USAD)Program-Banana Sucker Production for Tissue Culture,Upland Sustainable Agri-forestry Development (USAD)Program-Banana Sucker Production for Tissue Culture,18330,18330,0,0,18330,-,-,0,Realigned as per Res. # 8 series 2013 
Economic Services-Community Based Sustainable Ecosystem,Total for USAD Program,Total for USAD Program,6764330,6764330,1999970.6,0,4764359.4,-,-,0.3,-
Economic Services-Community Based Sustainable Ecosystem,Agusan del Sur Lowland Sustainable Agriculture (ALSA),Agusan del Sur Lowland Sustainable Agriculture (ALSA),6857180,-,-,-,-,-,-,-,-
Economic Services-Community Based Sustainable Ecosystem,Agusan del Sur Lowland Sustainable Agriculture (ALSA)-Rice Certified Seeds Production or Procurement (Thru SASEPCO),Agusan del Sur Lowland Sustainable Agriculture (ALSA)-Rice Certified Seeds Production or Procurement (Thru SASEPCO),3800000,3800000,2000000,0,1800000,"PP an MOA were revised and for Gov. signature, project cost reduced to 2M (based on Nov. 30 or 13 report)",-,0.5263,"3,800 Bags at 40kg Produced or Procurred"
Economic Services-Community Based Sustainable Ecosystem,Agusan del Sur Lowland Sustainable Agriculture (ALSA)-Upland Rice Seeds Production or Procurement (Thru Foundation for the Development of Agusanons),Agusan del Sur Lowland Sustainable Agriculture (ALSA)-Upland Rice Seeds Production or Procurement (Thru Foundation for the Development of Agusanons),2000000,2000000,0,0,2000000,-,-,0,Realigned as per Res. # 8 series 2013 
Economic Services-Community Based Sustainable Ecosystem,Agusan del Sur Lowland Sustainable Agriculture (ALSA)-Vegetable Production,Agusan del Sur Lowland Sustainable Agriculture (ALSA)-Vegetable Production,1000000,1000000,0,0,1000000,-,-,0,Realigned as per Res. # 8 series 2013 
Economic Services-Community Based Sustainable Ecosystem,"Agusan del Sur Lowland Sustainable Agriculture (ALSA)-DFS or Palayamanan (57,180.00)","Agusan del Sur Lowland Sustainable Agriculture (ALSA)-DFS or Palayamanan (57,180.00)",-,-,-,-,-,-,-,-,Realigned as per Res. # 8 series 2013 
Economic Services-Community Based Sustainable Ecosystem,"Agusan del Sur Lowland Sustainable Agriculture (ALSA)-DFS or Palayamanan (57,180.00)",10 Bags Rice Seeds,17920,17920,0,0,17920,-,-,0,-
Economic Services-Community Based Sustainable Ecosystem,"Agusan del Sur Lowland Sustainable Agriculture (ALSA)-DFS or Palayamanan (57,180.00)",30 Pouches Vegetable Seeds,3060,3060,0,0,3060,-,-,0,-
Economic Services-Community Based Sustainable Ecosystem,"Agusan del Sur Lowland Sustainable Agriculture (ALSA)-DFS or Palayamanan (57,180.00)",20 Pouches of Papaya Seeds,1200,1200,0,0,1200,-,-,0,-
Economic Services-Community Based Sustainable Ecosystem,"Agusan del Sur Lowland Sustainable Agriculture (ALSA)-DFS or Palayamanan (57,180.00)",100 Heads Chicken,35000,35000,0,0,35000,-,-,0,-
Economic Services-Community Based Sustainable Ecosystem,Total for ALSA,Total for ALSA,6857180,6857180,2000000,0,4857180,-,-,0.2917,-
Economic Services-Livestock and Poultry Program,Economic Services-Livestock and Poultry Program,Economic Services-Livestock and Poultry Program,6388120,-,-,-,-,-,-,0,-
Economic Services-Livestock and Poultry Program,BAKAS Program-Purchase of Cattle,BAKAS Program-Purchase of Cattle,1604995,1604995,1698123.64,0,-93128.64,"72% completed, delayed implementation, action taken: revision of approved PP following guidelines per advise of PPDO (based on 11/30/13 report)",72% on going (12/10/13),1.058,50 Heifers and 5 Bulls Procurred. Over Obligation  of 93128.64
Economic Services-Livestock and Poultry Program,Agusan del Sur Goat Program-Purchase of Goats,Agusan del Sur Goat Program-Purchase of Goats,896000,896000,957533.4,0,-61533.4,"Problem encountered: delayed implementation, action taken: revision of approved PP following guidelines as per advise of PPDO",19% on going (12/10/13),1.0687,35 bucks & 175 does procured. Over obligation of 61533.4
Economic Services-Livestock and Poultry Program,Organic Swine Production-Purchase of Upgraded Gilts,Organic Swine Production-Purchase of Upgraded Gilts,812000,812000,-,0,812000,-,19% on -going (12/10/13),0,"Realigned as per Res. # 8 series 2013 in the amount of 1,006,000.00"
Economic Services-Livestock and Poultry Program,Poultry Production or Dispersal Purchase,Poultry Production or Dispersal Purchase,1005125,1005125,884749,0,120376,Problem encountered: considerable mortality after delivery. Action taken: delivery of pullets were stopped and the mortality in the supplier farm were replaced,-,0.8802,"2,300 pullets and 287 Cockerel Purchased "
Economic Services-Livestock and Poultry Program,Meat Quality Control Program-Purchase of Slaughter equipment,Meat Quality Control Program-Purchase of Slaughter equipment,1800000,1800000,-,0,1800000,-,-,0,Realigned as per Res. # 8 series 2013 
Economic Services-Livestock and Poultry Program,Genetic Improvement Program-Purchase of Equipment,Genetic Improvement Program-Purchase of Equipment,270000,270000,255000,0,15000,-,-,0.9444,"6 units Nitrogen Storage tanks, weighing scale and vacuum cleaner "
Economic Services-Livestock and Poultry Program,(PVO) Livestock and Poultry Program,(PVO) Livestock and Poultry Program,6388120,6388120,3795406.04,0,2592713.96,-,-,0.5941,-
Economic Services-Tourism Program,Construction of Agusan del Sur Heritage Center,Construction of Agusan del Sur Heritage Center,800000,800000,272026.58,0,527973.42,-,-,0.34,-
Economic Services-Tourism Program,Bega Falls Eco-tourism Development (Phase II),,1200000,1200000,0,0,1200000,-,-,0,Realigned as per Res. # 8 series 2013 
Economic Services-Support to Patin-ay Water System,"Installation of Iron and Manganese Removal Facility, Phase I","Installation of Iron and Manganese Removal Facility, Phase I",2000000,2000000,0,0,2000000,-,-,0,-
Economic Services-Road Improvement Program,Improvement or Upgrading of Provincial Roads,Improvement or Upgrading of Provincial Roads,39697520,-,-,-,-,-,-,0,-
Economic Services-Road Improvement Program,Improvement or Upgrading of Provincial Roads,NRJ Patin-ay La Caridad- Tagapua (Patin-ay section),3000000,3000000,2889995.29,0,110004.71,100% completed,-,0.9633,save appropriation by 3.67%
Economic Services-Road Improvement Program,Improvement or Upgrading of Provincial Roads,NRJ-Cagbas-Saguma-Charito-San toribio (Cagbas-Saguma Section),4000000,4000000,3753891.93,0,246108.07,100% completed,-,0.9385,save appropriation by 6.15%
Economic Services-Road Improvement Program,Improvement or Upgrading of Provincial Roads,JCT Panaytay-anolingan-San Toribio Road (San Toribio Section),4000000,4000000,3704737.78,0,295262.22,100% completed,66% on going (9/10/13),0.9262,save appropriation by 7.38%
Economic Services-Road Improvement Program,Improvement or Upgrading of Provincial Roads,PRJ Duangan-Guadalupe-Dimasalang-Sta. Ines-Dona Maxima (PRJ duangan Section),4000000,4000000,3695063.44,0,304936.56,100% completed,-,0.9238,save appropriation by 7.62%
Economic Services-Road Improvement Program,Improvement or Upgrading of Provincial Roads,NRJ Tabon-tabon-Sta. Maria-Magkalape-Magsaysay-Banagbanag Spur road (Tabon-tabon section),4000000,4000000,3638953.19,0,361046.81,96.66% completed,36% on going (12/5/13),0.9097,-
Economic Services-Road Improvement Program,Improvement or Upgrading of Provincial Roads,NRJ Sta. Josefa-Aurora-Ta Paz Road (Aurora section),4000000,4000000,3522941.27,0,477058.73,100% completed,79% on-going (12/5/13),0.8807,Save appropriation 11.93%
Economic Services-Road Improvement Program,Improvement or Upgrading of Provincial Roads,"NRJ Sampaguita-Veruela Road (San Vicente,Pob.Veruela)",4000000,4000000,3757821.13,0,242178.87,100% completed,-,0.9395,save appropriation by 6.05%
