trader_name,address,telephone_number,region,officers,e-mail_address
129 Food Corporation,"Cor. Perdices and Legaspi St., Dumaguete, Negros Oriental",(035)422-80-08,VII (Central Visayas),Priscilla Tam,-
A. Chan Sugar Corporation,"6/F Legaspi Tower 200, Paseo de Roxas, Makati City",(02)817-15-51,NCR (National Capital Region),Jose Mari Chan,dydeguzman@yahoo.com
Adlerberg Industrial Corporation,"2J Blue Sapphire Residences, 30th St.,cor.2nd Ave., BGC, Taguig City",(02)856-71-82,NCR (National Capital Region),Pablo Lorenzo III,gps@adlerberg.com.ph
Agri Supports Corporation,"Bais Central, Bais City, Negros Oriental",(035)541-51-50,VII (Central Visayas),Antonio Chan,-
Agro-Bulk Marine Corporation,"RCJ Cmpd., Hda. Cristina, La Carlota City, Negros Occ.",(034)495-19-58,VI (Western Visayas),Ma. Soledad Chua,-
Ahssi Planters Multi-Purpose Cooperative,"ASSHI Bldg., Cabug Subd., Silay City, Negros Occ.",(034)495--19-58,VI (Western Visayas),Joseph Conrad Ledesma,ahssi_office@yahoo.com
Aison Bakery and Grocery,"351 Real St., Ormoc City, Leyte",(053)561-81-17,VIII (Eastern Visayas),John Yu,-
All Asian Bioethanol Corporation,"Brgy. Planas, Porac, Pampanga",(02)651-57-00,III (Central Luzon),Michael Escaler,-
"All Asian Countertrade, Inc.","5/F National Life Insurance Bldg., 6762 Ayala Ave., Makati City",(02)651-57-00,NCR (National Capital Region),Elvi Emmanuel Bayle,brian.abanto@aaci.ph
Alona Marietta Enterprises,"Poblacion, Don Carlos, Bukidnon",(088)226-25-26,X (Northern Mindanao),Macaria Ontanillas,caltexdonearles@yahoo.com
Angel N Haven Marketing Co.,"Mabini San Sebastian Sts., Bacolod City",(034)434-20-33,VI (Western Visayas),Ana Ma. Monsaje,-
"Anros and Sons Commercial, Inc.","Tanjay, Negros Oriental",(035)527-15-81,VII (Central Visayas),Henry Tam,-
"Aspenn Enterprises,Inc.","3/F, 7C Bldg., Lacson Ext., Bacolod City",(034)433-22-88,VI (Western Visayas),-,-
Bacolod Good Rise Commercial,"Tindalo Ave., Extension, Bacolod City",(034)435-10-75,VI (Western Visayas),Charissa Conde,-
Batama Farmer's Marketing Coop.,"Bais Central, Negros Oriental",(035)541-50-29,VII (Central Visayas),Milagros Aldeguer,-
"Batangas Sugar Planters' Coop., Marketing Ass'N., Inc.","Plaza Rizal cor. Fraternidad St., Balayan, Batangas",(043)211-43-68,IV,Danilo Zu–iga,bscpma888@yahoo.com
Bausdamlag Multi-Purpose Cooperative,"Bonifacio St., Zone 12, Talisay City, Neg. Occ.",(034)495-62-96,VI (Western Visayas),Zenia Astorga,zenia_astorga@yahoo.com
Bee Crescent Blending Corporation.,"Bldg. 1, 2522 Rodriguez St., Balut, Tondo, Manila",(02)252-35-81,NCR (National Capital Region),Manuel Macainag,mmmacainag@yahoo.com
Bemomi General Merchandising,"Luy-a, Medellin,Cebu",(032)436-32-00,VII (Central Visayas),Benjamin Miranda,-
"Bikol Sugarcane Planters Ass'N., Inc.","Suite 304, PNB Bldg., Naga City",(054)473-87-62,V (Bicol Region),Raul Delfin Divinagracia,-
"Biscom, Inc.","6/F Legaspi Tower 200, Paseo de Roxas, Makati City",(02)817-15-51,NCR (National Capital Region),Jose Mari Chan,biscom@pldtdsl.net
"Bogo-Medellin Milling Co., Inc.","Luy-a, Medellin, Cebu",(032)436-23-30/436-20-93,,Alfred Acopan,-
Btj Marketing,"LM Tinsay Bldg., De Leon St., Bacolod City",(033)337-79-84,VI (Western Visayas),Tita  Eler,-
"Busco Sugar Milling Co., Inc.","Brgy., Butong, Quezon, Bukidnon",(02)817-84-03,X (Northern Mindanao),Julio Sy,busco@easrtern.com.ph
