function,program,project_activity,appropriations,allotment,obligation,unobligued_balance
PDRRMO,Personal Services,Salaries,1814076,1814076,928745.53,885330.47
PDRRMO,Personal Services,PERA,120000,120000,71172.41,48827.59
PDRRMO,Personal Services,Representation Allowance,78000,78000,45500,32500
PDRRMO,Personal Services,Transportation Allowance,78000,78000,45500,32500
PDRRMO,Personal Services,Clothing Allowance,20000,25000,21000,4000
PDRRMO,Personal Services,Productivity Incentive Benefit,10000,10000,7252.71,2747.29
PDRRMO,Personal Services,Overtime and Night Pay,150000,150000,109822.78,40177.22
PDRRMO,Personal Services,Cash Gift,25000,25000,10000,15000
PDRRMO,Personal Services,Year-End Bonus,151173,151173,70407.5,80765.5
PDRRMO,Personal Services,Life and Retirement Insurance Premium,217690,217690,111443.72,106246.28
PDRRMO,Personal Services,Pag-ibig Funds Contributions,12000,12000,6200,5800
PDRRMO,Personal Services,Philhealth Contributions,24400,24400,8750,15650
PDRRMO,Personal Services,ECC Contributions,6000,6000,3067.88,2932.12
PDRRMO,Personal Services,Other Personel Benefits,72274,72274,72192.09,81.91
PDRRMO,Manintenance and Other Operating Expenses,Traveling Expeses - Local,75000,72500,21230,51270
PDRRMO,Manintenance and Other Operating Expenses,Training Expenses,50000,45000,3600,41400
PDRRMO,Manintenance and Other Operating Expenses,Office Supplies Expenses,50000,45000,41125,3875
PDRRMO,Manintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants",50000,45000,0,45000
PDRRMO,Manintenance and Other Operating Expenses,Telephone Expenses(Mobile),36000,36000,14700,21300
PDRRMO,Manintenance and Other Operating Expenses,Subscription Expenses,14000,12600,1034,11566
PDRRMO,Manintenance and Other Operating Expenses,Replacement and Maintenance - Office Equipment,15000,13500,0,13500
PDRRMO,Manintenance and Other Operating Expenses,Insurance Expenses,30000,30000,30000,0
PDRRMO,Manintenance and Other Operating Expenses,Manintenance and Other Operating Expenses,225000,202500,69099.77,133400.23
PDRRMF,Manintenance and Other Operating Expenses,Training Expenses,2750000,2750000,2679000,71000
PDRRMF,Manintenance and Other Operating Expenses,Food Supplies(Quick Response),21245432.4,21245432.4,0,21245432.4
PDRRMF,Manintenance and Other Operating Expenses,Drugs or Medicines,150000,450000,149580,300420
PDRRMF,Manintenance and Other Operating Expenses,Other Supplies Expenses,300000,300000,0,300000
PDRRMF,Manintenance and Other Operating Expenses,Advertising Expenses (Radio ads Program),300000,300000,0,300000
PDRRMF,Manintenance and Other Operating Expenses,Printing and Binding,400000,400000,390000,10000
PDRRMF,Manintenance and Other Operating Expenses,Replacement and Maintenance (Rehabilitation of existing structures),4000000,4000000,0,4000000
PDRRMF,Manintenance and Other Operating Expenses,Subsidy of LGUs,7872675.6,7872675.6,1300000,6572675.6
PDRRMF,Manintenance and Other Operating Expenses,Donations(Ins. For volunteer rescue groups),400000,400000,0,400000
PDRRMF,Manintenance and Other Operating Expenses,Manintenance and Other Operating Expenses,10700000,10400000,608000,9792000
PDRRMF,Capital Outlay,Comm. Equipment (Procurement of radio equipment),1000000,1000000,0,1000000
PDRRMF,Capital Outlay,Other Machinery and Equipment,400000,400000,0,400000
PDRRMF,Capital Outlay,Watercraft,2000000,2000000,0,2000000
PDRRMF,Capital Outlay,Construction of PDRRM Building,4000000,4000000,0,4000000
PDRRMF,Capital Outlay,Development or Construction of PDRRM premises,300000,300000,0,300000
PDRRMF,Capital Outlay,Rehabilitation Program (new construction),6000000,6000000,251158.1,5748841.9
PDRRMF,Capital Outlay,"Irrigation, canals and laterals",4000000,4000000,0,4000000
PDRRMF,Capital Outlay,Flood controls,5000000,5000000,0,5000000
