obligation_request_number,account_code,details,project_title,amount_appropriation,amount_actual_disbursement,amount_balance,in_percent,remarks
1629,-,Maintenance and Other Operating Expenses-Social Development Programs,Unimplemented Projects,3794831.9,-,3794831.9,0,-
1629,-,Maintenance and Other Operating Expenses-Social Development Programs,"Unimplemented Projects- Repair of Trail Safety Handlines, Safety Handrails, Steel Ladders, Safe Footwalks Leading to Waterfalls and Fabrication of Concrete Garbage Receptacles at Sto. Guintubdan, Barangay Ara-al, La Carlota City",839901.6,-,839901.6,0,-
1480,-,Maintenance and Other Operating Expenses-Social Development Programs,Unimplemented Projects- Gravelling of Roads at Barangay Balabag,463700,-,463700,0,-
1479,-,Maintenance and Other Operating Expenses-Social Development Programs,"Unimplemented Projects- Rehabilitation or Regravelling of Roads at Barangay Batuan, La Carlota City",756000,-,756000,0,-
1478,-,Maintenance and Other Operating Expenses-Social Development Programs,"Unimplemented Projects- Rehabilitation or Regravelling of Roads at Sto. Dulom. Barangay San Miguel, La Carlota City",265000,-,265000,0,-
1419,-,Maintenance and Other Operating Expenses-Social Development Programs,"Unimplemented Projects- Repair and Rehabilitation of La Carlota City Panaad Booth, Panaad Park, Bacolod City",879777.5,-,879777.5,0,-
1298,-,Maintenance and Other Operating Expenses-Social Development Programs,"Unimplemented Projects- Rehabilitation of Socio-Cultural Facilities, La Carlota City",500000,-,500000,0,-
960,-,Maintenance and Other Operating Expenses-Social Development Programs,"Unimplemented Projects- Fabrication of Ninety (90) Sets Basketball Board, Citywide",565124,495080,70044,87.61,-
956,-,Maintenance and Other Operating Expenses-Social Development Programs,Unimplemented Projects- Rehabilitation of Government Facilities,920000,57525.45,862474.55,6.25,-
941,-,Maintenance and Other Operating Expenses-Social Development Programs,Unimplemented Projects- Rehabilitation of Water Supply System,200000,6800,193200,3.4,-
886,-,Maintenance and Other Operating Expenses-Social Development Programs,"Unimplemented Projects- Repair of Footwalk or Stepwalk of Barangay II, La Carlota City",86000,58712.9,27287.1,68.27,-
616,-,Maintenance and Other Operating Expenses-Social Development Programs,Unimplemented Projects- Nutrition Program or Health Information Education Promotion Program (Barangay Nutrition Scholars),685000,120000,565000,17.52,-
-,-,Maintenance and Other Operating Expenses-Social Development Programs,Unimplemented Projects- Allowances for DayCare Workers,1044000,256500,787500,24.57,-
128,-,Maintenance and Other Operating Expenses-Social Development Programs,Unimplemented Projects- Purchase or Repair of Appropriate Calamity Related Rescue Operation Equipment (Phase I),1250000,187292,1062708,14.98,-
-,-,Maintenance and Other Operating Expenses-Economic Development Programs,Unimplemented Projects,3550000,-,3550000,0,-
1480,851,Maintenance and Other Operating Expenses-Economic Development Programs,Unimplemented Projects- Gravelling of Roads at Barangay Balabag,811300,-,811300,0,-
962,851,Maintenance and Other Operating Expenses-Economic Development Programs,"Unimplemented Projects- Gravelling of New Roads at Relocation Site, Barangay Batuan, La Carlota City",1188700,-,1188700,0,-
535,969,Maintenance and Other Operating Expenses-Economic Development Programs,Unimplemented Projects- Database Application on Livelihood Entreprenuership or Local Economic Development Program,300000,32577.53,267422.47,10.86,-
150,851,Maintenance and Other Operating Expenses-Economic Development Programs,"Unimplemented Projects- Asphalt Scaling and Rehabilitation of City Streets, Citywide",750000,209710,540290,27.96,-
-,-,Maintenance and Other Operating Expenses-Environment Development Programs,Unimplemented Projects,100000,-,100000,0,-
993,-,Maintenance and Other Operating Expenses-Environment Development Programs,"Unimplemented Projects- Cell Modular Excavation, Rehabilitation of Perimeter Fence and Drainage System for the Sanitary Landfill at Barangay Batuan, La Carlota City",500000,16660,483340,3.33,-
943,-,Maintenance and Other Operating Expenses-Environment Development Programs,"Unimplemented Projects- Rehabilitation of Ecological Center, Barangay Batuan, La Carlota City",750000,72034.35,677965.65,9.6,-
942,-,Maintenance and Other Operating Expenses-Environment Development Programs,Unimplemented Projects- Ecological Solid Waste Management,2000000,254937.25,1745062.75,12.75,-
570,-,Maintenance and Other Operating Expenses-Environment Development Programs,Unimplemented Projects- Reforestration and Urban Greening,1100000,292180,807820,26.56,-
106,-,Maintenance and Other Operating Expenses-Environment Development Programs,Unimplemented Projects- Dredging and Clearing of Existing Open and Close Canal - Excavation,500000,434095,65905,86.82,-
-,-,Capital Outlay- Social Development Programs,Unimplemented Projects,7533318,-,7533318,0,-
1775,-,Capital Outlay- Social Development Programs,"Unimplemented Projects- Fencing of Barangay Plaza, Barangay Ayungon, La Carlota City",100000,-,100000,0,-
1432,-,Capital Outlay- Social Development Programs,"Unimplemented Projects- Construction of One (1) unit Shallow Well at Sto. Danao Barangay Haguimit,La Carlota City",34000,-,34000,0,-
1418,-,Capital Outlay- Social Development Programs,"Unimplemented Projects- Conversion of Existing 2 units Public Toilet to Storage Rooms and Construction of New Public Toilet, La Carlota City Gymnasium",993630,-,993630,0,-
961,-,Capital Outlay- Social Development Programs,"Unimplemented Projects- Proposed R.C. Pipe Drainage System, Gurrea Street, La Carlota City",219052,-,219052,0,-
-,-,Capital Outlay- Economic Development Programs,Unimplemented Projects,4503797.8,-,4503797.8,0,-
968,-,Capital Outlay- Economic Development Programs,Unimplemented Projects- Database Application on Livelihood Entreprenuership - Local Economic Development Program,200000,84000,116000,42,-
-,-,Capital Outlay- Economic Development Programs,Unimplemented Projects- Loan Amortization (Birthing Clinic or Agora Annex Building),9000000,1335929.13,7664070.87,,-
959,-,Capital Outlay- Economic Development Programs,"Unimplemented Projects- Concreting of Lim Subdivision, Barangay II, La Carlota City",546202.2,-,546202.2,0,-
-,-,Capital Outlay- Environment Development Programs,Unimplemented Projects,100000,-,100000,0,-
