description_of_project_1,description_of_project_2,description_of_project_3,description_of_project_4,obligations
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Construction of modular type lying?in clinic,"Sampaloc 4, City of Dasmarinas",445000
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Construction of modular type lying?in clinic,"Sampaloc 4, City of Dasmarinas",361200
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Renovation of medical ward(Phase2),"Gen.Aguinaldo Memorial Hospital, Trece Martires City",5000000
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Improvement of water system,"Ancillary Building, GEAMH, Trece Martires City",133481.41
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Construction of perimeter fence,"Gen. Trias Medicare Hospital, Gen. Trias",1180570.67
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Construction of 1 unit deepwell with vertical pump,"Naic Medicare Hospital, Naic",125753.6
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Installation of branch circuits cables to energize the 200 AMP single?phase semi portable x?ray machine,"GEAMH, Trece Martires City",332588.8
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Concreting of road (L=41m; W=3m),"GEAMH, Trece Martires City",112381.7
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Concreting of shoulder,"GEAMH, Trece Martires City",250486.65
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment",Completion of medical ward,"GEAMH, Trece Martires City",6264562
Social Development,"Construction or rehabilitation of health centers, rural health units or hospitals and purchase of medical equipment","Repair of defective doors, louvers and windows ","KPFP, Trece Martires City ",56422.4
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 3 units deepwell handpump and 5 units shallow well," Amaya II, Tanza ",173800
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 1 unit deepwell with motor pump ,"Paligawan Matanda ES, Carmona ",151325.95
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 10 units deepwell handpump ,"Anabu II?C, City of Imus ",406041
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 3 units deepwell handpump ,"Bucandala I, City of Imus ",119131
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 7 unit deepwell handpump,"Bucandala III, City of Imus",276178
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 4 units deepwell handpump,"Bucandala IV, City of Imus ",159025
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 2 units deepwell handpump ,"Malagasang II?F, City of Imus ",87806
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Delivery of materials for 10 units shallow well handpump with accessories ,"Medicion II?F, City of Imus",27500
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 2 units deepwell handpump,"Langkaan I City, of Dasmariñas ",107534
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 5 units deepwell handpump,"Pinagkaloob, Kawit ",267582.46
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Construction of 4 unit deepwell handpump,"Wawa II, Rosario",317204.48
Social Development,Construction or rehabilitation of local government?owned potable water supply system,Delivery of 10 units jetmatic pump ,"Various barangays, Naic ",28200
Social Development,Establishment or rehabilitation of manpower development centers,Repair and improvement of 5 classrooms ,"Sangley ES, Cavite City",523380
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the repainting of school buildings ,"Anabu II?E, City of Imus ",286315
Social Development,Establishment or rehabilitation of manpower development centers,Renovation of 3?classroom ,"Bagong Lipunan Building Angel L. Bawalan ES, Alingaro, Gen. Trias ",543387.52
Social Development,Establishment or rehabilitation of manpower development centers,Construction of 3 units comfort room ,"Mahabang Kahoy Lejos ES, Indang",180072.95
Social Development,Establishment or rehabilitation of manpower development centers,Construction of 2 units comfort room ,"Naic Coastal NHS, Naic",-
Social Development,Establishment or rehabilitation of manpower development centers,Construction of fence and installation of gutter,"Litlit ES, Silang",274250
Social Development,Establishment or rehabilitation of manpower development centers,Construction of CHB fence ,"Punta ES, Tanza ",239400
Social Development,Establishment or rehabilitation of manpower development centers,Construction of stage with roofing  ,"Luis Aguado NHS, Trece Martires City",1077534.95
Social Development,Establishment or rehabilitation of manpower development centers,Improvement of 2 classroom ,"Taywanak ES, Alfonso ",1080938.87
Social Development,Establishment or rehabilitation of manpower development centers,Construction of covered pathwalk and concreting of pathways ,"Talon ES, Amadeo ",421414
Social Development,Establishment or rehabilitation of manpower development centers,Construction of 2nd floor of multipurpose building ,"Molino III, Wood Estate subd. II, City of Bacoor",-
