particular_1,particular_2,particular_3,location,obligations
Social Development,Construction or rehabilitation of local government owned potable water supply system,Construction of water system,Upli Alfonso,1246037
Social Development,Construction or rehabilitation of local government owned potable water supply system,Construction of 1 unit deepwell handpump,"Pasong Camachile, Sitio Gen. Trias",39921.15
Social Development,Construction or rehabilitation of local government owned potable water supply system,Construction of 1 unit deepwell handpump,San Gabriel Gen. Trias,39921.15
Social Development,Construction or rehabilitation of local government owned potable water supply system,Construction of 5 units deepwell handpump,Buenavista II Gen. Trias,218723
Social Development,Construction or rehabilitation of local government owned potable water supply system,Delivery of 5HP submersible pump with accessories,Pantihan 4 Maragondon,224200
Social Development,Construction or rehabilitation of local government owned potable water supply system,Delivery of materials for the installation of water pipelines,Pasong Langka Silang,47272
Social Development,Construction or rehabilitation of local government owned potable water supply system,Construction of water system,Santol Silang,869995.68
Social Development,Construction or rehabilitation of local government owned potable water supply system,Installation of main distribution line of water system,Balite I Silang,856571
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school,Dasmarinas City NHS-Main Burol I,98560
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school,New Era NHS Dasmarinas City,80686.65
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school,"Pag-asa NHS, Victoria Reyes Dasmarinas City",67283.48
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school,Salitran ES Dasmarinas City,99753.5
Social Development,Establishment or rehabilitation of manpower development centers,Delivery and installation of K type modular 2-CL school building,Estansuela E/S Cavite City,607250
Social Development,Establishment or rehabilitation of manpower development centers,Construction of foundation and installation of electrical accessories of K type modular school building,Estansuela E/S Cavite City,"1 505,900.00"
Social Development,Establishment or rehabilitation of manpower development centers,Delivery and installation of K type modular 1-CL school building,Southville E/S Trece Martires City,"1 303,625.00"
Social Development,Establishment or rehabilitation of manpower development centers,Construction of foundation and installation of electrical accessories of K type modular school building,Southville E/S Trece Martires City,266600
Social Development,Establishment or rehabilitation of manpower development centers,"Delivery and installation of K type modular 2-storey, 4-CL modular school building",Langkaan Elementary School Dasmarinas City,1214500
Social Development,Establishment or rehabilitation of manpower development centers,"Construction of foundation and installation of electrical accessories of K type modular 2-storey, 4-CL modular school building",Langkaan Elementary School Dasmarinas City,565000
Social Development,Establishment or rehabilitation of manpower development centers,"Delivery and installation of K type modular 2-storey, 6-CL modular school building",TUP Dasmarinas City,1858000
Social Development,Establishment or rehabilitation of manpower development centers,"Construction of foundation and installation of electrical accessories of K type modular 2-storey, 6-CL modular school building",TUP Dasmarinas City,1240850
Social Development,Establishment or rehabilitation of manpower development centers,"Delivery and installation of K type modular 2-storey, 6-CL modular school building","Fiorentino Joya E/S Tanza, Cavite",1858000
Social Development,Establishment or rehabilitation of manpower development centers,"Construction of foundation and installation of electrical accessories of K type modular 2-storey, 6-CL modular school building","Fiorentino Joya E/S Tanza, Cavite",1240850
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court,Amuyong Alfonso,2922300
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court,Buck Estate Alfonso,2622500
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court,Banaybanay Amadeo,3587488
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court (18m x 30m),Rochel Duplex Subd. Molino 4 Bacoor,3211000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court (18m x 30m),St. Joseph Subd. Panapaan 3 Bacoor,3202000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court,Paliparan Ill Dasmarinas City,3557200
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Delivery of materials for the installation of fiberglass board and rings,Litlit Silang,63228
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court (15m x 28m),Santiago Gen. Trias ,3457100
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court,Pasong Buaya II Imus,"4,870,200.00i"
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court,Calumpang Cerca Indang,3138463.01
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court (15m x 24m),Ligtong III Rosario,3555700
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of arc roof covered court (20m x 30m),Calibuyo Tanza,3265600
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Construction of covered court (18m x 18m) with bleachers,Cabezas Tanza,3753105
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Completion of multi purpose building,Marahan II Alfonso,932500
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Delivery of materials for the construction of multi-purpose building,"Pintong Gubat, Paliparan 3, Dasmarinas City",3052250.59
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Completion of Lingap Manggagawa Center,"Salitran, Dasmarinas City",3031000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Completion or Extension of storey multi-purpose building,"Balsahan, Binakayan Kawit","1,862,000,00"
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Completion of multi-purpose building for daycare workers,"Cabulusan, Magallanes",1086000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Improvement of multi-purpose building,"Barangay 6, Mendez",2008000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Completion of multi-purpose building,"Galicia III, Mendez",1241000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous and differently abled persons)",Completion of multi-purpose building,"Osorio, Trece Martires City",850000
