particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Current Appropriation,34930866.27,81505354.62,-,-,-,116436220.9
Source of Funds,Continuing Appropration,-,20295315.92,-,-,-,20295315.92
Source of Funds,Prior Year's Appropration transferred to the Special Trust Fund,-,33902986.8,-,-,-,33902986.8
Source of Funds,From Other Sources,-,-,-,-,1518204,1518204
Source of Funds,Total Funds Available,34930866.27,135703657.3,-,-,1518204,172152727.6
Utilization-Current,Medicines or Medical Supplies,-,626060,-,-,-,626060
Utilization-Current,Distribution of Food Supplies,-,-,-,-,-,0
Utilization-Current,Trainings,-,698700.86,-,-,-,698700.86
Utilization-Current,Grants or Donations,-,8612500,-,-,-,8612500
Utilization-Current,Equipment,-,20997500,-,-,-,20997500
Utilization-Current,Others,-,2045240.29,-,-,-,2045240.29
Utilization-Continuing,Equipment,-,6866504.68,-,-,-,6866504.68
Utilization-Continuing,Building,-,825723.42,-,-,-,825723.42
Utilization,Total Utilization,0,40672229.25,0,0,0,40672229.25
Utilization,Unutilized Balance,34930866.27,95031428.09,0,0,1518204,131480498.4
