particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Current Appropriation,34930866.27,81505354.62,-,-,-,116436220.9
Source of Funds,Continuing Appropriation,-,20295315.92,-,-,-,20295315.92
Source of Funds,Prior Year's Approp transferred to the Special Trust Fund,-,33902986.8,-,-,-,33902966.8
Source of Funds,From Other Sources,-,-,-,-,1518204,1518204
Source of Funds,Total Funds Available,34930866.27,135703657.3,0,0,1518204,172152727.6
Utilization-Current,Medicines/Medical supplies,-,-,-,-,-,0
Utilization-Current,Distribution of Food Supplies,-,-,-,-,-,0
Utilization-Current,Trainings,-,1116745.49,-,-,-,1116745.49
Utilization-Current,Grants/Donation,-,1667500,-,-,-,1667500
Utilization-Current,Equipment,-,6600000,-,-,-,6600000
Utilization-Continuing,Equipment,-,3411265,-,-,-,3411265
Utilization-Continuing,Total Utilization,0,12795510.49,0,0,0,12795510.49
Utilization-Continuing,Unutilized Balance,34930866.27,122908146.9,0,0,1518204,159357217.1
