particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Current Appropriations,34930866.27,81505354.62,-,-,-,116436220.9
Source of Funds,Continuing Appropriations,-,20295315.92,-,-,-,20295315.92
Source of Funds,Prior Year's Appropriations transferred to Special Trust Fund,-,33902986.8,-,-,-,33902986.8
Source of Funds,From Other Sources,-,-,-,-,1518204,1518204
Source of Funds,Total Funds Available,34930866.27,135703657.3,0,0,1518204,172152727.6
Utilization-Current,Medicines/Medical supplies,-,625610,-,-,-,625610
Utilization-Current,Distribution of Food Supplies,22605054,-,-,-,-,22605054
Utilization-Current,Trainings,-,1395292.13,-,-,-,1395292.13
Utilization-Current,Grants/Donation,-,8612500,-,-,-,8612500
Utilization-Current,Equipment,-,39333145,-,-,-,39333145
Utilization-Current,Others,-,3265126.47,-,-,-,3265126.47
Utilization-Continuing,Equipment,-,7709206.5,-,-,-,7709206.5
Utilization-Continuing,Building,-,825723.42,-,-,-,825723.42
Utilization,Special Trust Fund Utilization,-,71942.98,-,-,-,71942.98
Utilization,Utilization of Funds from Other Sources,-,-,-,-,494523.45,494523.45
Utilization,Total Utilization,22605054,61838546.5,0,0,494523.45,84938123.95
Utilization,Unutilized Balance,12325812.27,73865110.84,0,0,1023680.55,87214603.66
