particulars_1,particulars_2,particulars_3,particulars_4,amount
Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,2144681953
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,107234098
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,753,71500
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,758,133138.6
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,760,391192
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,761,47064.47
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,765,826658.5
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,841,82265
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,878,7000000
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,969,2062607.47
Less-Expenditures,Pre-Disaster Preparedness Program,Capital Outlay,231,387717
Less-Expenditures,Pre-Disaster Preparedness Program,Capital Outlay,241,127434
Less-Expenditures,Post-Disaster Program,Maintenance and Other Operating Expenses,758,20285000
Less-Expenditures,Post-Disaster Program,Maintenance and Other Operating Expenses,759,999958
Less-Expenditures,Post-Disaster Program,Maintenance and Other Operating Expenses,760,999805
Total,Total,Total,Total,33414340.04
Balance,Balance,Balance,Balance,73819757.96
