particulars_1,particulars_2,particulars_3,particulars_4,amount
Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,2144681953
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,107234098
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,758,89880
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,761,47064.47
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,765,329260
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,841,70225
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,878,7000000
Less-Expenditures,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses,969,941862.77
Less-Expenditures,Pre-Disaster Preparedness Program,Capital Outlay,231,42000
Less-Expenditures,Pre-Disaster Preparedness Program,Capital Outlay,241,127500
Less-Expenditures,Post-Disaster Program,Maintenance and Other Operating Expenses,-,-
Total,Total,Total,Total,8647792.24
Balance,Balance,Balance,Balance,98586305.76
