particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds-General Fund,Current  Appropriation - CY 2014,9103917,21242473,-,-,-,30346390
Sources of Funds-General Fund,Continuing Appropriation,-,-,-,-,-,-
Sources of Funds-General Fund,Previous  Year's Appropriation transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds-General Fund,Total Funds Available,9103917,21242473,-,-,-,30346390
Utilization,Reserved for Disaster Quick Response  (30% Program),546401.35,-,-,-,-,546401.35
Utilization,Travelling Expenses  Pre-Disaster Risk Training of Personnel,-,-,-,-,-,-
Utilization,Training Expenses     Pre-Disaster Risk Training of Personnel,-,1708.5,-,-,-,1708.5
Utilization,Training Expenses     ,-,-,-,-,-,-
Utilization,Reprod of Calamity Preparedness Posts or Flyers  and Other Info Drive,-,-,-,-,-,-
Utilization,Maintenance of Super Tanker# 10,-,-,-,-,-,-
Utilization,Rehabilitaion and Recovery Program for Victims of Calamities or Disaster,-,-,-,-,-,-
Utilization,Fabrication of Emergency Signage of all Public and Gov't Building,-,-,-,-,-,-
Utilization,Isuzu D-Max Accessories (Bumper assembly-front with fog lamp etc,-,-,-,-,-,-
Utilization,1 unit Backhoe Loader,-,-,-,-,-,-
Utilization,4 units Fiber Rescue Boat,-,-,-,-,-,-
Utilization,1 unit Outboard Engine with complete accessories for Patrol Boat,-,-,-,-,-,-
Utilization,2 units Rescue Boat Trailer,-,-,-,-,-,-
Utilization,Generator set,-,-,-,-,-,-
Utilization,ESW 6 wheeler Truck and Accessories,-,-,-,-,-,-
Utilization,1 unit Hydraulic   Cutter,-,-,-,-,-,-
Utilization,1 unit Hydraulic   Spreader,-,-,-,-,-,-
Utilization,2 sets Scuba Gears + Scuba Compressor,-,-,-,-,-,-
Utilization,Base Radio,-,-,-,-,-,-
Utilization,Portable Handheld Radio with Registration,-,-,-,-,-,-
Utilization,1 unit Crocodile Jack,-,-,-,-,-,-
Utilization,2 units Hydraulic Jack,-,-,-,-,-,-
Utilization,1 unit Basket Stretcher,-,-,-,-,-,-
Utilization,1 set High Angle Rescue Equipment,-,-,-,-,-,-
Utilization,3 units Portable Chainsaw,-,-,-,-,-,-
Utilization,Rescue and Other Related Equipment,-,-,-,-,-,-
Utilization,CCTV  Camera,-,-,-,-,-,-
Utilization,Construction of D-Canal along Mercado's Res to Domingo Cuerdo Res,-,-,-,-,-,-
Utilization,Construction of D-Canal along Mercado Avenue from Ubalde St. to Motorpool,-,-,-,-,-,-
Utilization,"Initial Regrading of Canal Bottom, Brgys 1 to 16",-,-,-,-,-,-
Utilization,"Construction of upper Kahulogan River Control Dike, Brgy 26 (Near Chapel at kahulogan Bridge)",-,-,-,-,-,-
Utilization,"Construction of River Control Dike at Panyangan River,  Brgy Lunao",-,-,-,-,-,-
Utilization,Additional Construction of River Control Dike at Brgy 24-A,-,-,-,-,-,-
Utilization,"Construction of Ramp for Water Rescue Operation, Brgy 14",-,-,-,-,-,-
Utilization,Desilting of Rivers,-,-,-,-,-,-
Utilization,Maintenance of  Drainage Canal  City Wide,-,70309.41,-,-,-,70309.41
Utilization,Construction or Repair or Rehabilitation of Infrastructure Projects,-,-,-,-,-,-
Utilization,Total Utilization,546401.35,72017.91,-,-,-,546401.35
Utilization,Unutilized Balance 2014,8557515.65,21170455.09,-,-,-,29727970.74
