particulars_1,particulars_2,particulars_3,particulars_4,particulars_5,2012,2011
Tax Revenue,Local Taxes,Amusement Tax,Amusement Tax,Amusement Tax, -   ,-
Tax Revenue,Local Taxes,Business Tax,Business Tax,Business Tax, -   ,-
Tax Revenue,Local Taxes,Community Tax,Community Tax,Community Tax, -   ,-
Tax Revenue,Local Taxes,Franchise Tax,Franchise Tax,Franchise Tax, -   ,-
Tax Revenue,Local Taxes,Occupation Tax,Occupation Tax,Occupation Tax, -   ,-
Tax Revenue,Local Taxes,Printing and Publication Tax,Printing and Publication Tax,Printing and Publication Tax, -   ,-
Tax Revenue,Local Taxes,Property Transfer Tax,Property Transfer Tax,Property Transfer Tax, -   ,-
Tax Revenue,Local Taxes,Real Property Tax,Real Property Tax,Real Property Tax,-,-
Tax Revenue,Local Taxes,Real Property Tax,Less: Discount on Real Property Tax,Less: Discount on Real Property Tax, -   ,-
Tax Revenue,Local Taxes,Real Property Tax on Idle Lands,Real Property Tax on Idle Lands,Real Property Tax on Idle Lands, -   ,-
Tax Revenue,Local Taxes,Special Assessment Tax,Special Assessment Tax,Special Assessment Tax, -   ,-
Tax Revenue,Local Taxes,Special Education Tax,Special Education Tax,Special Education Tax,-,-
Tax Revenue,Local Taxes,Special Education Tax,Less: Discount on Special Education Tax,Less: Discount on Special Education Tax, -   ,-
Tax Revenue,Local Taxes,Tax on Delivery Trucks and Vans,Tax on Delivery Trucks and Vans,Tax on Delivery Trucks and Vans, -   ,-
Tax Revenue,Local Taxes,"Tax on Sand, Gravel and Other Quarry Products","Tax on Sand, Gravel and Other Quarry Products","Tax on Sand, Gravel and Other Quarry Products", -   ,-
Tax Revenue,Local Taxes,Other Local Taxes,Other Local Taxes,Other Local Taxes, -   ,-
Tax Revenue,Local Taxes,Fines and Penalties- Local Taxes,Fines and Penalties- Local Taxes,Fines and Penalties- Local Taxes, -   ,-
General Income Accounts,General Income Accounts,General Income Accounts,General Income Accounts,General Income Accounts,53023281,-
General Income Accounts,Permits and Licenses,Fees on Weights and Measures,Fees on Weights and Measures,Fees on Weights and Measures, -   ,-
General Income Accounts,Permits and Licenses,Fishery Rental Fees,Fishery Rental Fees,Fishery Rental Fees, -   ,-
General Income Accounts,Permits and Licenses,Franchising and Licensing Fees,Franchising and Licensing Fees,Franchising and Licensing Fees, -   ,-
General Income Accounts,Permits and Licenses,Motor Vehicles Users Charge,Motor Vehicles Users Charge,Motor Vehicles Users Charge, -   ,-
General Income Accounts,Permits and Licenses,Permit Fees,Permit Fees,Permit Fees, -   ,-
General Income Accounts,Permits and Licenses,Registration Fees,Registration Fees,Registration Fees, -   ,-
General Income Accounts,Permits and Licenses,Other Permits and Licenses,Other Permits and Licenses,Other Permits and Licenses, -   ,-
General Income Accounts,Permits and Licenses,Fines and Penalties-  Permits and Licenses,Fines and Penalties-  Permits and Licenses,Fines and Penalties-  Permits and Licenses, -   ,-
General Income Accounts,Permits and Licenses,Total Permits and Licenses,Total Permits and Licenses,Total Permits and Licenses, -   ,-
General Income Accounts,Service Income,Affiliation Fees,Affiliation Fees,Affiliation Fees, -   ,-
General Income Accounts,Service Income,Athletic and Cultural Fees,Athletic and Cultural Fees,Athletic and Cultural Fees, -   ,-
General Income Accounts,Service Income,Clearance and Certification Fees,Clearance and Certification Fees,Clearance and Certification Fees, -   ,-
General Income Accounts,Service Income,Comprehensive Examination Fees,Comprehensive Examination Fees,Comprehensive Examination Fees, -   ,-
General Income Accounts,Service Income,Diploma and Graduation Fees,Diploma and Graduation Fees,Diploma and Graduation Fees, -   ,-
General Income Accounts,Service Income,Garbage Fees,Garbage Fees,Garbage Fees, -   ,-
General Income Accounts,Service Income,Inspection Fees,Inspection Fees,Inspection Fees, -   ,-
General Income Accounts,Service Income,Library Fees,Library Fees,Library Fees, -   ,-
General Income Accounts,Service Income,"Medical, Dental and Laboratory Fees","Medical, Dental and Laboratory Fees","Medical, Dental and Laboratory Fees", -   ,-
General Income Accounts,Service Income,Processing Fees,Processing Fees,Processing Fees, -   ,-
General Income Accounts,Service Income,Seminar Fees,Seminar Fees,Seminar Fees, -   ,-
General Income Accounts,Service Income,Toll and Terminal Fees,Toll and Terminal Fees,Toll and Terminal Fees, -   ,-
General Income Accounts,Service Income,Transcript of Records Fees,Transcript of Records Fees,Transcript of Records Fees, -   ,-
General Income Accounts,Service Income,Other Services Income,Other Services Income,Other Services Income, -   ,-
General Income Accounts,Service Income,Fines and Penalties - Service Income,Fines and Penalties - Service Income,Fines and Penalties - Service Income, -   ,-
General Income Accounts,Business Income,Hospital Fees,Hospital Fees,Hospital Fees, -   ,-
General Income Accounts,Business Income,Income from Canteen Operations,Income from Canteen Operations,Income from Canteen Operations, -   ,-
General Income Accounts,Business Income,Income from Cemetery Operations,Income from Cemetery Operations,Income from Cemetery Operations, -   ,-
General Income Accounts,Business Income,Income from Communication Facilities,Income from Communication Facilities,Income from Communication Facilities, -   ,-
General Income Accounts,Business Income,Income from Dormitory Operations,Income from Dormitory Operations,Income from Dormitory Operations, -   ,-
General Income Accounts,Business Income,Landing and Parking Fees,Landing and Parking Fees,Landing and Parking Fees, -   ,-
General Income Accounts,Business Income,Income from Markets,Income from Markets,Income from Markets, -   ,-
General Income Accounts,Business Income,Income from Slaughterhouse,Income from Slaughterhouse,Income from Slaughterhouse, -   ,-
General Income Accounts,Business Income,Income from Transportation System,Income from Transportation System,Income from Transportation System, -   ,-
General Income Accounts,Business Income,Income from Waterworks System,Income from Waterworks System,Income from Waterworks System, -   ,-
General Income Accounts,Business Income,Printing and Publication Income,Printing and Publication Income,Printing and Publication Income, -   ,-
General Income Accounts,Business Income,Rent Income,Rent Income,Rent Income, -   ,-
General Income Accounts,Business Income,Sales Revenue,Sales Revenue,Sales Revenue, -   ,-
General Income Accounts,Business Income,Sales Revenue,Cost of Goods Sold,Cost of Goods Sold, -   ,-
General Income Accounts,Business Income,Net Sales Revenue,Net Sales Revenue,Net Sales Revenue, -   ,-
General Income Accounts,Business Income,Tuition Fees,Tuition Fees,Tuition Fees, -   ,-
General Income Accounts,Business Income,Other Business Income,Other Business Income,Other Business Income, -   ,-
General Income Accounts,Business Income,Fines and Penalties - Business Income,Fines and Penalties - Business Income,Fines and Penalties - Business Income, -   ,-
General Income Accounts,Business Income,Total Business Income,Total Business Income,Total Business Income, -   ,-
General Income Accounts,Other Income,Dividend Income,Dividend Income,Dividend Income, -   ,-
General Income Accounts,Other Income,Income from Grants and Donations,Income from Grants and Donations,Income from Grants and Donations, -   ,-
General Income Accounts,Other Income,Insurance Income,Insurance Income,Insurance Income, -   ,-
General Income Accounts,Other Income,Interest Income,Interest Income,Interest Income, -   ,-
General Income Accounts,Other Income,Sale of Confiscated or Abandoned or Seized Goods and Properties,Sale of Confiscated or Abandoned or Seized Goods and Properties,Sale of Confiscated or Abandoned or Seized Goods and Properties, -   ,-
General Income Accounts,Other Income,Share from Economic Zones,Share from Economic Zones,Share from Economic Zones, -   ,-
General Income Accounts,Other Income,Share from Expanded Value Added Tax,Share from Expanded Value Added Tax,Share from Expanded Value Added Tax, -   ,-
General Income Accounts,Other Income,Share from National Wealth,Share from National Wealth,Share from National Wealth, -   ,-
General Income Accounts,Other Income,Share from PAGCOR or PCSO,Share from PAGCOR or PCSO,Share from PAGCOR or PCSO, -   ,-
General Income Accounts,Other Income,Share from Tobaco Excise Tax,Share from Tobaco Excise Tax,Share from Tobaco Excise Tax, -   ,-
General Income Accounts,Other Income,Miscellaneous Income,Miscellaneous Income,Miscellaneous Income, -   ,-
General Income Accounts,Other Income,Other Fines and Penalties,Other Fines and Penalties,Other Fines and Penalties, -   ,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Regular,Salaries and Wages - Regular, -   ,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Military or Uniformed ,Salaries and Wages - Military or Uniformed , -   ,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Part-time,Salaries and Wages - Part-time, -   ,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Substitute,Salaries and Wages - Substitute, -   ,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Casual ,Salaries and Wages - Casual , -   ,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Contractual ,Salaries and Wages - Contractual , -   ,-
Expenses,Personal Services,Salaries and Wages,Salaries and Wages - Emergency ,Salaries and Wages - Emergency , -   ,-
Expenses,Personal Services,Other Compensation,Personnel Economic Relief Allowance (PERA),Personnel Economic Relief Allowance (PERA), -   ,-
Expenses,Personal Services,Other Compensation,Additional Compensation (ADCOM),Additional Compensation (ADCOM), -   ,-
Expenses,Personal Services,Other Compensation,Representation Allowance (RA),Representation Allowance (RA), -   ,-
Expenses,Personal Services,Other Compensation,Transportation Allowance (TA),Transportation Allowance (TA), -   ,-
Expenses,Personal Services,Other Compensation,Clothing or Uniform Allowance,Clothing or Uniform Allowance, -   ,-
Expenses,Personal Services,Other Compensation,"Subsistence, Laundry and Quarter Allowance","Subsistence, Laundry and Quarter Allowance", -   ,-
Expenses,Personal Services,Other Compensation,Productivity Incentive Allowance,Productivity Incentive Allowance, -   ,-
Expenses,Personal Services,Other Compensation,Other Bonuses and Allowances,Other Bonuses and Allowances, -   ,-
Expenses,Personal Services,Other Compensation,Honoraria,Honoraria, -   ,-
Expenses,Personal Services,Other Compensation,Hazard Pay,Hazard Pay, -   ,-
Expenses,Personal Services,Other Compensation,Longevity Pay,Longevity Pay, -   ,-
Expenses,Personal Services,Other Compensation,Overtime and Night Pay,Overtime and Night Pay, -   ,-
Expenses,Personal Services,Other Compensation,Cash Gift,Cash Gift, -   ,-
Expenses,Personal Services,Other Compensation,Year End Bonus,Year End Bonus, -   ,-
Expenses,Personal Services,Personnel Benefits Contributions,Life and Retirement Insurance Contributions,Life and Retirement Insurance Contributions, -   ,-
Expenses,Personal Services,Personnel Benefits Contributions,PAG-IBIG Contributions,PAG-IBIG Contributions, -   ,-
